Speed_Avg,Brake_Frequency,Brake_Intensity,Throttle_Variance,Energy_Consumption,Range_Est,Label_Driver
61.0,0.0,0.0,0.42,0.083,182.6,1
22.5,13.7,18.4,17.69,0.144,132.6,0
37.1,12.4,15.8,23.97,0.157,179.1,0
16.0,15.7,44.9,8.36,0.249,198.3,0
54.2,9.0,16.4,9.17,0.176,161.5,0
47.2,4.2,32.0,9.79,0.168,129.8,1
27.4,19.7,39.9,29.18,0.144,134.0,0
33.5,28.2,23.9,23.89,0.08,182.0,0
15.6,0.0,90.3,77.64,0.108,176.8,2
51.5,6.8,22.9,5.9,0.111,162.1,1
84.8,2.9,79.7,25.36,0.075,228.4,2
41.6,0.0,20.6,7.98,0.231,115.5,1
24.7,1.0,3.2,13.57,0.15,27.6,0
56.2,9.6,23.6,7.06,0.157,145.9,0
77.8,3.1,57.7,44.94,0.125,76.4,2
30.8,23.4,45.3,15.13,0.16,161.2,0
86.1,0.0,81.1,53.21,0.115,109.1,2
52.0,5.1,37.0,4.29,0.224,204.2,0
51.3,4.5,20.5,13.3,0.157,180.7,1
28.0,16.1,27.4,11.8,0.181,122.2,0
19.1,17.4,41.5,7.24,0.118,109.7,0
16.0,9.6,4.5,4.78,0.18,224.7,2
54.2,4.5,85.8,90.25,0.126,164.8,2
86.8,7.0,100.0,62.27,0.178,185.0,2
42.2,20.8,28.6,30.05,0.193,58.3,0
41.9,4.9,35.2,32.77,0.143,102.6,0
90.1,2.2,12.8,8.71,0.177,124.1,1
38.0,29.0,44.1,13.06,0.134,222.7,2
85.9,0.0,57.1,14.67,0.185,146.3,0
88.1,4.9,72.2,38.72,0.169,140.6,2
43.5,8.5,46.0,16.4,0.103,138.2,0
79.4,4.8,28.6,5.41,0.245,132.4,0
51.1,1.4,13.1,7.76,0.239,167.7,1
30.8,14.5,32.1,11.96,0.075,190.3,1
48.8,7.4,52.9,47.36,0.077,157.4,2
18.7,7.3,51.9,17.39,0.15,139.4,2
36.3,14.5,52.9,15.06,0.102,115.3,0
21.7,14.0,30.5,24.57,0.197,136.4,0
83.0,5.3,19.1,8.27,0.09,182.2,1
40.7,7.9,42.4,31.64,0.186,182.9,0
16.1,17.5,37.7,18.74,0.145,99.7,0
32.0,21.2,38.4,29.78,0.158,115.7,0
0.0,12.8,59.6,21.5,0.203,152.3,0
63.5,5.4,30.0,8.01,0.199,173.2,1
61.8,1.1,15.8,4.15,0.193,99.2,1
38.7,1.6,20.8,9.51,0.19,153.3,1
47.5,7.0,48.2,33.67,0.125,208.0,0
25.7,21.9,23.2,20.44,0.157,135.0,0
61.7,1.5,40.0,16.11,0.108,113.4,0
64.6,0.0,32.4,2.14,0.147,143.1,1
61.3,3.6,22.1,12.71,0.169,180.3,1
61.0,2.1,9.0,4.06,0.075,182.0,1
70.2,3.7,59.2,35.89,0.113,90.7,0
46.1,17.3,31.0,30.73,0.161,115.3,0
98.7,2.2,21.6,10.93,0.183,145.0,1
28.8,12.2,27.0,3.25,0.214,86.7,1
95.3,3.8,7.5,0.76,0.202,144.2,1
71.8,7.2,16.8,7.26,0.154,143.3,1
43.7,33.6,46.9,20.78,0.108,105.4,0
61.2,0.0,15.6,12.69,0.143,128.3,1
24.6,28.6,43.4,15.81,0.213,200.8,0
32.2,23.6,46.9,36.77,0.095,164.0,0
74.1,5.0,0.0,5.83,0.154,189.6,1
62.7,2.7,14.6,17.82,0.104,122.8,1
40.2,19.5,67.1,11.48,0.164,132.3,0
41.7,31.3,21.1,35.2,0.091,171.5,0
47.3,6.6,9.6,8.62,0.146,175.5,1
49.4,6.5,29.3,20.84,0.136,171.2,0
38.4,12.7,51.1,17.44,0.151,133.2,0
8.8,7.1,54.5,0.0,0.095,93.9,0
66.1,1.1,6.1,18.86,0.158,156.2,1
67.7,4.6,98.6,79.18,0.125,121.4,2
74.9,0.4,13.0,11.56,0.183,161.3,1
16.3,14.2,22.2,11.11,0.039,114.3,1
2.1,8.9,49.0,17.41,0.174,106.4,0
34.3,16.4,39.7,31.58,0.26,126.7,0
50.9,0.0,18.9,6.07,0.164,126.1,1
53.7,6.7,11.1,15.35,0.136,164.8,1
54.4,23.5,54.8,8.54,0.126,139.4,0
56.6,8.7,9.0,1.88,0.16,156.3,1
39.7,16.5,38.8,29.6,0.074,71.2,0
58.7,5.1,0.0,10.51,0.08,226.0,1
24.2,20.8,26.6,41.08,0.184,113.2,0
70.0,0.7,55.1,25.0,0.214,114.3,0
62.7,0.0,61.6,78.72,0.045,129.6,2
86.8,4.7,37.9,29.34,0.106,143.2,0
35.0,1.2,42.3,22.49,0.157,205.1,0
63.4,0.0,17.2,22.0,0.089,172.4,1
30.4,21.6,18.7,15.22,0.137,132.4,0
6.9,0.0,48.2,14.93,0.129,157.1,1
38.0,9.6,24.0,10.4,0.128,112.8,1
50.1,18.4,0.0,10.57,0.153,217.3,0
9.9,16.2,47.1,0.0,0.162,227.3,0
87.5,0.0,21.9,7.08,0.119,143.8,1
87.0,0.0,17.6,6.78,0.18,258.3,1
24.8,13.5,13.6,13.24,0.149,5.1,0
32.8,23.2,52.4,19.25,0.019,130.6,0
59.0,9.4,77.8,19.63,0.17,193.2,2
11.3,14.6,10.5,19.0,0.133,147.9,1
35.2,6.3,54.2,21.11,0.169,160.2,0
41.1,1.7,43.2,17.58,0.071,132.7,0
50.5,1.6,20.8,0.0,0.106,150.2,1
23.9,15.7,35.6,5.06,0.21,188.2,1
36.7,17.5,52.7,16.54,0.275,113.6,0
67.0,4.4,93.5,41.75,0.17,157.7,2
21.1,6.7,51.6,16.83,0.211,165.0,0
94.0,15.1,64.4,69.49,0.214,130.6,2
80.2,5.6,69.5,6.22,0.097,131.1,2
48.3,3.0,16.2,14.81,0.126,107.1,0
51.5,0.4,25.6,9.01,0.234,35.3,1
77.6,6.9,20.7,18.32,0.209,165.7,1
149.7,6.6,19.1,14.92,0.213,143.6,1
40.6,1.8,0.0,22.19,0.213,108.3,0
77.1,5.0,13.7,9.71,0.231,120.4,1
51.4,4.8,27.2,14.6,0.164,153.4,1
59.1,2.0,10.8,7.82,0.155,152.3,1
77.5,8.9,25.4,8.05,0.142,149.4,1
62.1,2.2,73.7,32.75,0.204,161.7,2
59.0,3.6,13.3,17.03,0.17,139.1,0
68.7,2.6,20.4,9.24,0.177,169.2,1
37.4,3.0,100.0,60.03,0.066,166.0,2
15.9,14.3,38.0,30.58,0.195,176.9,0
35.7,0.0,86.5,67.23,0.153,97.5,2
41.2,7.5,40.0,22.22,0.105,118.9,0
28.4,9.6,15.5,21.13,0.132,213.7,0
101.9,1.0,1.6,11.77,0.213,178.4,1
13.8,8.7,69.6,38.04,0.15,88.4,2
37.3,17.9,62.3,21.03,0.162,142.6,0
55.0,18.4,21.9,17.72,0.232,206.7,2
27.5,10.4,86.2,39.15,0.14,90.2,2
52.9,5.5,50.0,29.75,0.176,187.7,0
21.2,23.4,59.9,6.11,0.092,187.5,0
74.8,2.7,14.2,1.19,0.219,130.0,1
34.3,16.7,20.6,34.88,0.147,140.0,0
13.0,4.9,21.7,4.18,0.195,182.4,1
81.7,0.0,75.5,36.13,0.108,177.6,1
76.1,3.7,30.3,2.86,0.16,186.3,1
67.4,1.3,35.3,10.12,0.182,183.6,1
30.4,8.5,20.5,27.68,0.114,216.5,0
10.8,15.6,49.9,6.49,0.157,137.8,0
86.0,9.3,96.0,61.71,0.179,172.6,2
37.1,10.8,9.9,15.19,0.165,203.4,0
42.7,14.5,40.1,13.78,0.091,86.5,0
28.3,8.7,24.2,24.29,0.139,179.2,0
34.3,21.6,36.8,36.03,0.123,125.6,0
21.5,2.4,17.6,3.85,0.12,208.7,1
11.1,18.3,42.9,8.7,0.211,126.5,0
29.4,14.8,26.8,13.02,0.204,147.1,1
47.9,0.0,23.8,4.12,0.119,130.8,1
51.1,2.0,0.0,0.0,0.185,138.1,1
38.8,8.4,29.8,24.84,0.105,142.3,0
8.9,32.7,23.7,11.49,0.219,122.5,0
38.6,20.8,57.4,24.0,0.097,97.2,0
67.0,0.0,0.0,8.92,0.109,174.4,1
74.6,1.0,15.9,14.57,0.172,122.4,1
61.4,5.1,56.9,19.76,0.157,176.5,0
45.7,1.3,28.1,12.05,0.211,122.2,1
81.2,0.0,79.7,54.23,0.05,100.9,2
53.4,0.9,11.4,10.08,0.183,142.3,1
94.6,4.6,7.0,2.87,0.108,41.6,1
67.2,3.9,20.4,41.06,0.19,193.2,0
25.7,2.3,27.6,12.03,0.14,182.0,0
47.4,5.3,59.7,65.41,0.131,218.4,2
29.4,21.4,55.4,14.86,0.107,77.0,0
85.2,3.4,22.2,21.29,0.151,209.6,1
4.3,19.2,29.1,15.6,0.064,143.6,0
73.4,5.3,22.0,18.59,0.181,109.9,0
23.0,0.0,25.2,10.59,0.301,90.2,1
39.7,21.5,49.9,12.69,0.16,137.6,0
18.8,17.6,65.4,18.19,0.15,141.0,0
26.7,0.0,45.6,48.01,0.196,141.2,2
55.2,3.2,8.9,9.06,0.107,150.0,1
21.4,14.6,26.9,0.0,0.074,130.3,0
12.2,18.0,52.7,24.62,0.14,145.3,0
40.5,3.7,14.6,26.08,0.222,103.3,0
34.9,18.6,0.0,12.44,0.203,105.4,0
30.1,2.1,10.4,16.7,0.155,140.6,1
37.6,14.5,29.3,0.05,0.218,122.0,0
89.3,2.8,10.1,7.37,0.143,169.6,1
22.4,8.2,15.1,3.48,0.15,171.6,1
101.2,13.9,90.7,18.68,0.138,188.9,2
10.7,13.8,36.8,28.97,0.212,191.8,0
55.7,2.1,6.9,19.22,0.121,153.2,1
24.4,20.7,15.4,3.2,0.17,134.3,0
9.3,27.7,21.4,18.07,0.162,81.4,0
46.1,0.0,14.5,23.32,0.137,117.8,1
24.6,10.7,91.9,48.96,0.124,157.1,2
38.1,27.8,16.4,19.53,0.082,84.5,0
21.6,9.0,17.4,18.4,0.162,171.4,0
21.0,13.2,28.7,0.0,0.164,140.9,0
12.7,4.4,95.3,39.17,0.134,113.5,2
85.3,0.5,2.7,0.08,0.135,130.0,2
24.4,15.7,45.0,22.52,0.172,96.1,0
13.5,0.0,98.7,55.76,0.126,195.0,2
64.8,0.3,52.4,12.83,0.106,186.1,0
38.8,10.6,29.3,20.02,0.102,123.5,0
6.0,9.4,17.7,27.51,0.108,194.2,0
26.6,16.7,41.1,23.27,0.112,108.5,0
69.9,2.2,13.0,17.1,0.076,191.0,1
76.9,2.1,8.0,12.73,0.203,154.5,1
35.2,23.5,47.9,8.0,0.198,106.7,0
43.6,7.6,21.0,12.55,0.147,229.2,0
43.4,8.3,8.3,9.51,0.138,204.3,1
50.1,11.8,42.2,32.69,0.14,181.9,0
20.1,13.4,75.3,50.22,0.211,123.7,2
13.8,16.9,41.1,25.33,0.084,91.6,0
25.1,0.8,17.3,12.69,0.182,124.7,1
9.6,7.1,58.2,38.35,0.159,167.5,0
4.8,6.1,19.6,24.0,0.182,131.5,2
79.4,3.7,22.1,5.53,0.214,187.4,1
18.4,11.8,24.0,33.46,0.14,112.4,0
70.6,10.5,92.4,73.17,0.196,155.9,2
43.0,10.6,39.6,8.31,0.177,117.2,0
55.3,6.8,0.0,7.94,0.153,185.8,1
44.1,25.0,22.3,14.64,0.138,183.0,0
81.7,0.0,25.1,14.49,0.193,102.4,1
43.8,19.6,17.1,32.24,0.239,93.6,0
36.9,17.8,2.5,26.23,0.083,140.7,0
32.6,21.3,37.3,14.63,0.167,168.6,0
31.0,14.3,23.8,8.78,0.086,161.7,1
56.6,13.4,2.0,19.49,0.145,170.4,0
58.3,2.6,50.3,6.67,0.212,130.7,1
97.0,0.0,38.2,7.18,0.219,155.8,1
35.7,8.1,93.0,57.03,0.126,201.2,2
52.9,24.2,39.1,19.08,0.237,89.3,1
9.1,25.9,27.5,16.04,0.166,192.4,0
55.6,0.0,23.8,16.45,0.183,112.3,1
24.5,17.2,42.2,20.43,0.064,148.9,0
61.9,20.2,54.8,11.27,0.142,90.6,0
74.6,0.9,0.0,13.84,0.109,142.4,1
9.2,26.5,33.4,22.81,0.312,102.7,0
68.9,28.4,36.2,10.24,0.218,194.1,0
1.2,19.1,0.0,10.77,0.164,160.7,1
55.5,18.9,61.1,12.96,0.142,155.2,0
58.3,5.1,12.2,13.0,0.132,57.8,1
38.7,7.6,91.6,27.29,0.171,203.6,2
86.1,8.4,60.4,73.56,0.108,183.3,2
34.7,18.5,26.5,18.39,0.033,199.0,0
23.2,26.8,48.2,0.77,0.176,231.3,0
33.8,15.4,29.9,27.5,0.14,203.0,0
60.6,2.6,71.0,61.65,0.226,172.0,2
39.4,2.6,38.3,5.16,0.061,171.0,1
58.9,29.7,25.1,22.21,0.186,124.5,0
26.1,14.1,20.0,14.65,0.1,137.0,1
0.0,16.2,32.6,18.14,0.157,219.4,0
66.2,16.1,23.3,17.16,0.143,157.6,0
63.9,2.8,55.8,25.27,0.186,125.5,0
25.0,19.3,8.4,20.95,0.19,146.5,0
50.1,2.2,3.5,16.68,0.187,106.9,1
103.1,1.3,9.4,15.81,0.202,68.4,1
23.5,13.6,21.9,22.06,0.053,156.3,0
31.4,27.5,35.2,28.54,0.104,115.4,0
43.4,7.2,44.0,32.07,0.115,161.3,0
60.9,2.1,11.2,6.57,0.204,183.7,1
55.2,2.5,3.4,4.87,0.159,152.3,1
66.2,5.5,9.1,9.76,0.121,191.7,1
92.7,2.7,84.5,52.18,0.23,181.3,2
29.4,6.4,37.7,27.22,0.124,149.4,0
27.9,9.3,48.8,10.54,0.135,152.4,0
58.1,5.3,20.1,11.55,0.209,113.3,1
36.4,11.1,41.7,15.75,0.201,156.5,0
98.3,0.3,13.1,12.1,0.104,158.2,1
26.8,4.9,55.6,17.09,0.1,174.7,0
29.5,18.9,49.9,33.35,0.158,230.9,0
47.4,0.0,11.6,13.98,0.193,161.8,1
76.3,1.1,0.0,7.28,0.169,152.1,1
21.4,10.3,15.4,10.94,0.096,150.9,0
36.5,1.8,0.2,2.62,0.166,122.7,1
31.1,5.2,12.8,9.83,0.108,201.8,0
18.6,18.3,16.0,28.42,0.117,32.7,0
26.1,21.2,35.0,16.93,0.244,146.8,0
35.9,22.3,32.9,6.54,0.22,95.0,0
40.4,36.5,19.9,15.62,0.122,199.4,0
29.1,11.2,38.0,24.75,0.171,67.4,0
65.6,9.8,56.9,32.05,0.186,172.5,2
72.5,3.0,15.0,6.65,0.108,196.7,1
54.9,2.0,60.8,32.1,0.16,177.9,0
53.4,1.4,2.1,9.2,0.196,222.3,1
95.0,7.0,10.7,6.28,0.187,191.5,1
12.4,26.8,37.4,19.19,0.107,194.9,0
63.3,8.3,17.4,9.7,0.193,215.7,1
15.5,5.8,4.0,1.96,0.167,137.0,1
8.1,23.2,66.6,16.74,0.253,157.1,0
57.3,2.5,24.0,7.53,0.146,173.9,1
60.1,2.9,64.8,60.93,0.16,108.3,2
71.6,4.4,19.9,5.93,0.058,92.5,1
55.0,0.0,25.7,6.42,0.037,154.7,1
44.9,7.1,29.5,1.04,0.21,54.4,0
92.1,0.0,20.0,18.53,0.115,159.1,1
28.0,10.7,0.0,3.39,0.125,171.2,1
43.2,6.2,16.7,11.8,0.206,161.6,1
17.5,6.1,35.5,13.46,0.201,185.1,0
57.6,0.0,27.5,27.26,0.234,150.8,0
46.2,17.8,39.3,24.6,0.082,134.0,0
11.6,0.6,13.8,15.61,0.076,165.9,1
74.1,3.3,27.8,15.82,0.13,144.6,1
40.5,3.1,18.7,8.81,0.147,79.0,1
44.9,9.8,15.7,23.02,0.137,113.5,0
39.1,24.1,38.4,37.76,0.153,145.6,0
46.3,3.7,0.0,6.97,0.157,117.3,1
26.9,23.3,28.1,22.13,0.11,103.0,0
29.2,6.6,8.1,14.1,0.226,117.4,1
70.0,5.8,7.6,2.7,0.19,167.8,1
44.8,17.3,54.6,24.94,0.179,158.8,0
19.8,15.2,34.3,21.71,0.163,149.8,0
65.8,4.5,11.2,12.01,0.167,180.7,1
93.9,5.2,31.1,13.16,0.126,184.7,1
63.7,19.1,29.2,19.03,0.203,167.9,0
13.4,17.0,31.7,27.13,0.261,79.1,0
69.7,5.6,13.0,18.91,0.167,111.3,1
33.0,2.5,27.6,32.89,0.243,217.8,0
26.3,15.0,40.5,27.62,0.187,157.1,0
51.0,3.7,36.4,15.1,0.122,169.9,1
21.1,8.2,17.5,16.8,0.198,109.0,0
42.6,5.1,80.0,53.89,0.061,158.6,2
38.4,5.4,20.3,22.86,0.161,121.4,0
41.9,6.4,40.9,16.65,0.096,137.4,0
66.5,1.9,15.6,9.62,0.119,171.4,1
75.1,5.8,19.9,13.2,0.099,180.7,1
20.4,35.1,39.1,23.16,0.14,120.1,0
54.5,4.9,11.3,8.12,0.175,110.9,1
74.5,2.8,4.5,8.22,0.214,189.3,1
38.7,20.0,30.0,29.18,0.114,234.0,0
78.5,0.6,30.9,6.8,0.209,119.6,1
33.9,10.1,21.0,5.77,0.118,218.4,1
15.3,4.3,89.7,44.52,0.194,195.1,1
25.4,4.7,12.9,15.25,0.114,181.9,1
34.6,0.9,19.0,12.57,0.191,164.6,1
52.2,28.0,28.1,13.85,0.084,121.2,0
40.8,6.5,7.9,16.76,0.08,134.9,1
28.0,7.0,11.7,12.67,0.172,132.0,1
66.0,0.0,11.7,15.96,0.119,131.0,1
25.7,13.4,21.9,27.03,0.221,54.5,0
69.7,0.6,65.8,14.05,0.124,167.8,2
80.5,7.8,16.6,10.67,0.188,133.4,0
43.0,1.3,28.6,16.99,0.112,139.4,2
85.7,3.6,17.0,11.47,0.195,197.2,1
41.3,15.1,29.5,17.25,0.148,144.0,0
7.1,16.7,46.4,25.76,0.152,82.9,0
23.6,1.8,79.6,44.47,0.225,116.7,2
65.4,0.0,0.0,13.2,0.154,214.1,1
42.0,1.5,2.2,15.79,0.185,111.3,1
43.8,0.7,10.6,0.62,0.159,74.9,1
13.9,16.5,51.4,17.87,0.144,168.7,0
49.6,30.8,38.3,36.35,0.202,118.2,0
8.8,11.4,13.3,13.8,0.1,126.0,1
50.3,29.7,35.6,24.18,0.115,114.9,0
58.5,8.2,20.7,4.28,0.135,123.5,1
13.0,21.6,13.7,25.68,0.122,111.7,0
67.7,4.3,20.6,9.72,0.146,164.6,1
41.1,25.8,25.1,23.72,0.242,172.2,0
15.1,19.7,35.2,11.86,0.17,200.1,0
18.3,0.0,36.9,18.89,0.249,118.1,0
23.8,2.4,36.8,17.44,0.214,173.2,0
46.9,4.6,10.3,11.25,0.142,160.7,1
79.9,0.0,15.3,14.2,0.184,178.4,1
51.7,12.0,44.6,3.35,0.11,146.5,0
27.4,23.2,40.6,25.83,0.125,118.3,0
82.6,3.2,0.0,11.79,0.151,126.7,1
6.5,6.8,6.5,4.4,0.095,133.3,1
15.9,14.1,24.8,0.0,0.152,193.5,0
17.8,23.4,16.2,16.34,0.236,170.0,0
55.3,13.8,4.4,18.38,0.251,98.4,0
27.5,22.4,27.9,9.27,0.161,188.0,0
62.5,0.0,26.0,5.04,0.085,123.2,1
63.8,2.0,12.3,0.0,0.107,166.9,1
9.0,10.6,57.8,21.25,0.133,155.6,0
22.1,13.4,31.1,16.77,0.112,162.4,0
76.0,0.0,16.3,19.49,0.08,157.0,1
42.0,18.5,35.5,36.7,0.079,130.3,0
43.5,7.2,0.0,6.63,0.195,184.0,1
49.1,11.2,37.2,26.28,0.09,170.2,0
68.0,0.3,12.8,8.29,0.279,123.8,1
22.3,16.8,55.0,30.37,0.128,174.1,0
51.8,4.9,24.3,0.0,0.052,119.6,0
38.8,20.1,55.9,22.29,0.158,157.5,0
27.6,2.6,24.8,13.85,0.239,145.8,1
1.3,4.8,53.2,14.66,0.152,167.3,0
18.1,23.3,47.7,23.76,0.189,146.5,0
38.6,9.8,11.9,26.9,0.052,194.0,0
45.8,0.0,13.8,25.52,0.139,120.5,0
46.4,6.9,17.7,10.9,0.144,206.0,1
7.0,14.7,60.5,22.48,0.12,219.1,0
74.2,1.7,22.1,12.23,0.057,225.4,1
60.9,3.3,9.3,9.12,0.047,117.0,1
34.4,6.2,13.9,8.42,0.163,178.7,1
72.3,8.3,0.0,6.96,0.143,147.2,1
25.1,6.2,26.8,21.07,0.076,130.6,0
29.8,6.5,100.0,61.75,0.182,140.4,2
9.7,5.0,52.6,36.81,0.171,195.3,0
15.2,6.1,100.0,60.23,0.191,163.6,2
52.1,3.3,15.1,4.47,0.123,163.3,1
26.3,8.5,53.7,10.46,0.216,208.9,0
42.1,0.6,11.9,9.99,0.1,171.5,1
26.9,19.1,59.0,33.61,0.136,151.7,0
39.5,21.7,47.8,16.2,0.138,96.8,0
55.5,4.4,10.0,12.77,0.159,55.2,2
34.4,11.2,100.0,52.93,0.117,132.5,2
68.0,1.5,57.1,6.01,0.115,185.5,0
30.5,5.6,9.9,14.76,0.258,144.2,1
34.0,0.0,20.8,19.63,0.0,125.2,1
21.0,7.3,28.9,5.26,0.204,201.5,1
122.1,2.6,25.4,5.79,0.179,176.3,1
17.0,29.5,52.3,25.93,0.113,134.1,1
31.7,2.6,72.8,6.9,0.109,189.3,0
12.5,10.6,25.5,23.12,0.097,180.9,0
44.4,4.1,9.5,8.67,0.066,117.8,1
34.8,14.1,25.1,25.53,0.19,116.9,0
39.2,17.1,26.5,10.35,0.156,202.1,0
74.5,3.7,10.4,13.95,0.239,170.9,1
53.5,8.4,7.5,23.42,0.156,135.4,0
68.1,8.7,93.8,35.58,0.132,175.3,2
32.7,16.2,14.8,34.97,0.162,159.0,0
57.6,6.3,19.6,0.0,0.122,195.4,1
84.1,4.9,9.8,10.69,0.11,142.0,1
76.9,2.7,0.0,10.71,0.119,157.4,1
35.1,5.5,85.4,68.86,0.221,234.6,2
11.3,9.4,11.9,13.95,0.184,173.5,1
82.1,4.3,0.0,5.18,0.114,155.4,1
102.0,7.7,96.1,28.59,0.124,191.9,2
45.2,4.0,44.3,25.14,0.151,205.3,0
51.9,41.8,10.4,21.22,0.208,166.8,0
8.7,10.3,17.4,26.33,0.089,155.3,0
17.3,10.8,23.5,13.18,0.174,134.1,0
30.4,0.0,76.8,37.75,0.166,176.1,2
46.0,4.7,0.0,12.73,0.12,181.1,1
38.0,3.7,32.8,9.86,0.115,206.8,0
47.0,1.6,18.4,8.77,0.094,129.4,1
67.7,5.4,46.3,21.41,0.095,170.0,0
26.3,25.5,8.0,6.28,0.168,184.6,0
50.5,3.7,0.0,16.11,0.147,55.3,1
63.6,0.0,0.0,9.79,0.125,147.1,1
6.4,1.6,18.9,5.64,0.178,181.0,1
100.4,0.7,22.4,21.11,0.11,196.8,1
82.4,5.1,19.0,9.91,0.119,197.1,1
6.9,5.0,0.0,7.42,0.17,150.4,1
22.9,0.0,28.7,28.89,0.261,74.0,0
63.3,4.8,14.9,1.21,0.163,144.7,1
88.5,0.0,19.8,2.49,0.111,122.9,1
87.4,5.3,74.7,71.24,0.111,147.7,2
55.1,17.4,63.2,18.93,0.182,210.3,0
29.0,0.7,18.7,7.53,0.063,256.8,0
82.0,4.7,15.0,9.55,0.214,143.6,1
35.6,10.5,22.6,17.33,0.141,147.7,0
19.0,6.0,61.8,21.26,0.167,162.6,0
68.5,2.8,13.8,0.84,0.133,140.7,1
35.8,1.1,35.5,4.13,0.13,175.1,0
69.1,5.2,0.0,14.46,0.167,134.7,1
86.8,2.6,12.8,12.42,0.156,225.6,1
24.1,24.9,30.0,25.09,0.102,201.4,2
28.6,0.4,34.7,21.52,0.187,125.0,0
5.2,21.8,43.4,17.73,0.204,149.2,0
45.4,25.2,64.9,18.33,0.156,175.4,0
46.7,7.0,14.9,23.62,0.108,200.9,0
18.8,21.2,48.3,0.0,0.156,151.2,0
50.1,2.2,3.7,9.33,0.121,173.6,1
24.1,18.0,45.5,9.28,0.178,96.9,0
49.7,2.5,11.3,6.82,0.187,175.9,1
48.9,23.0,41.8,13.42,0.146,149.9,0
34.1,4.9,27.3,40.32,0.073,127.4,0
78.3,6.1,16.8,12.7,0.141,137.3,1
56.7,14.7,47.6,16.41,0.139,105.7,0
76.5,1.9,34.5,11.78,0.199,163.5,1
27.7,10.9,63.0,36.17,0.122,140.4,2
42.7,7.6,13.9,15.09,0.13,181.0,1
12.9,20.8,27.5,17.92,0.063,131.5,0
24.2,0.0,35.3,13.14,0.23,83.9,1
6.1,16.9,36.1,18.72,0.095,264.9,0
68.3,3.4,0.4,9.34,0.049,167.8,1
33.2,13.1,0.0,34.17,0.086,203.8,0
70.7,1.7,7.0,13.98,0.142,115.9,1
58.8,2.0,12.7,8.13,0.105,108.3,1
41.2,19.5,5.9,4.56,0.092,75.4,0
51.7,2.2,20.7,13.92,0.155,170.8,1
48.2,0.7,22.8,15.35,0.251,187.9,1
39.7,1.3,11.2,13.56,0.127,90.4,1
99.1,5.0,5.5,9.18,0.073,218.7,1
40.3,11.6,26.5,13.82,0.039,179.9,0
13.3,9.2,13.7,15.79,0.088,164.7,1
37.3,16.1,14.2,27.44,0.128,113.0,0
24.7,18.4,6.6,7.68,0.142,198.8,1
31.2,1.7,5.3,9.35,0.161,149.4,1
43.8,4.1,20.4,32.08,0.13,104.7,0
36.2,12.2,13.1,19.16,0.102,97.3,0
81.9,7.1,23.8,11.3,0.152,129.1,1
59.4,1.3,25.6,16.39,0.14,181.3,1
40.1,5.5,36.3,7.91,0.079,158.0,0
0.0,1.7,26.2,24.58,0.14,170.2,0
31.1,0.0,30.3,15.61,0.201,166.2,0
81.7,4.2,25.5,0.29,0.058,177.2,1
24.2,19.2,30.0,14.56,0.136,232.2,0
51.4,0.0,39.0,37.9,0.116,145.5,0
23.0,12.7,38.1,34.77,0.089,98.5,0
34.9,10.3,37.8,20.53,0.109,124.8,0
47.2,0.0,32.0,10.01,0.192,158.8,1
105.1,0.7,24.4,17.22,0.168,81.0,1
83.8,2.7,100.0,65.3,0.177,136.0,2
32.9,13.6,4.3,11.98,0.045,130.0,0
