Throttle_Spike,Brake_Usage,Energy_Consumption,Regen_Efficiency,Jerk,Label_Driver
68.6,44.8,291.3,0.04,3.94,1
28.3,32.3,241.1,0.08,5.18,1
14.3,22.0,162.3,0.24,0.65,0
53.0,28.2,218.5,0.11,2.63,1
10.6,22.0,157.1,0.22,0.26,0
82.4,47.1,229.1,0.08,1.41,1
51.8,17.1,144.7,0.07,3.38,0
14.8,5.7,188.8,0.27,0.56,0
60.1,32.9,214.6,0.08,1.81,1
51.3,25.1,282.5,0.1,2.36,1
13.1,2.3,169.2,0.21,0.88,0
7.0,10.4,159.2,0.23,0.61,0
65.2,45.3,201.2,0.09,4.81,1
57.8,39.6,183.7,0.14,2.12,1
5.9,10.1,147.8,0.3,0.29,0
14.9,9.9,131.1,0.31,0.58,0
58.8,55.2,200.7,0.07,3.24,1
15.9,10.1,158.1,0.26,0.63,0
62.5,40.9,196.5,0.14,3.15,1
31.2,44.1,281.8,0.18,1.73,0
20.6,14.0,112.1,0.22,0.7,0
49.8,39.0,204.5,0.08,2.28,1
17.6,12.0,150.1,0.22,0.77,0
13.3,12.7,134.9,0.19,0.34,0
20.9,9.0,137.5,0.25,0.57,0
38.5,49.0,237.7,0.14,2.97,1
15.0,3.3,125.7,0.21,0.72,0
21.0,10.8,150.6,0.19,0.23,0
55.8,54.6,201.7,0.15,1.48,0
8.5,11.7,129.6,0.35,0.63,0
21.2,8.2,110.8,0.27,0.54,0
97.0,44.1,255.4,0.1,3.85,0
13.0,16.3,134.0,0.26,0.38,0
14.4,8.7,145.2,0.27,0.67,0
35.7,52.5,167.9,0.15,1.78,1
35.4,21.5,275.3,0.05,4.23,1
64.3,30.5,186.8,0.13,3.47,0
14.3,5.8,124.7,0.27,0.24,0
30.2,8.0,143.2,0.21,0.46,0
58.2,43.7,219.1,0.11,3.24,1
19.1,14.4,127.5,0.23,0.36,0
20.5,18.0,136.9,0.24,0.69,0
13.4,12.2,136.6,0.28,0.5,0
23.1,0.0,151.9,0.22,0.51,0
13.9,11.0,186.1,0.3,0.23,0
0.0,9.5,141.4,0.19,0.33,1
13.5,0.0,143.0,0.29,0.34,0
50.2,41.3,260.8,0.03,2.93,1
66.6,47.1,283.8,0.1,3.37,1
15.0,8.2,144.9,0.26,0.46,0
17.5,0.0,154.7,0.25,0.33,1
26.4,8.1,110.0,0.18,0.62,0
45.6,35.6,240.5,0.15,1.99,1
41.8,28.3,225.4,0.21,3.05,1
7.2,4.0,136.4,0.23,0.19,0
19.9,13.9,114.3,0.27,0.89,0
45.4,32.0,258.1,0.11,3.03,1
86.7,38.5,229.1,0.2,1.77,1
69.0,19.0,224.1,0.14,5.42,1
8.7,12.9,137.3,0.22,0.5,0
16.5,14.2,137.2,0.21,0.65,0
49.5,65.0,190.7,0.11,1.09,1
21.3,14.0,151.7,0.23,0.67,0
15.9,8.0,144.8,0.27,0.43,0
7.7,15.3,144.4,0.2,0.53,0
18.6,9.7,130.4,0.27,0.27,0
49.2,10.0,218.7,0.06,2.93,1
15.1,13.7,178.4,0.25,0.63,0
14.6,9.7,112.6,0.23,0.43,0
55.0,21.6,249.9,0.1,1.3,1
87.6,23.1,218.4,0.0,3.73,1
11.6,15.3,122.5,0.28,0.72,0
19.0,4.1,147.3,0.26,0.38,0
3.7,17.8,180.2,0.25,0.47,0
10.4,11.5,162.4,0.21,0.33,0
46.1,26.4,162.6,0.07,0.92,1
3.5,6.2,206.9,0.19,0.8,0
16.1,13.6,150.3,0.32,0.48,0
41.9,29.8,269.8,0.09,1.07,1
64.9,30.2,224.7,0.1,3.48,1
14.5,6.5,146.1,0.24,0.34,0
70.5,50.5,214.6,0.13,3.72,1
10.9,12.1,151.8,0.29,0.74,0
10.5,15.9,132.6,0.25,0.25,0
13.1,6.5,156.1,0.23,0.41,0
86.4,40.3,214.5,0.16,1.72,1
12.6,10.5,121.3,0.21,0.48,0
12.6,20.5,111.9,0.21,0.81,0
18.0,9.0,113.9,0.21,0.4,0
83.6,40.8,175.9,0.05,0.81,1
21.7,6.0,166.0,0.22,0.32,0
9.7,8.6,151.7,0.26,0.95,0
63.6,62.4,161.6,0.05,1.39,1
18.5,7.7,112.7,0.24,0.64,0
11.2,12.3,158.5,0.2,0.1,0
4.1,10.6,172.3,0.22,0.5,0
18.4,11.1,155.2,0.21,0.7,1
54.3,28.5,194.0,0.21,2.82,1
64.8,39.9,151.6,0.1,1.17,1
12.1,2.4,140.6,0.3,0.43,0
13.4,3.9,112.0,0.25,0.4,0
22.4,9.9,154.6,0.21,0.2,0
20.6,12.2,122.7,0.24,0.51,1
46.6,16.8,144.0,0.05,3.93,1
21.1,9.7,127.4,0.35,0.46,0
74.6,32.4,186.3,0.17,2.04,0
11.5,10.5,135.6,0.2,0.35,0
80.4,31.6,154.1,0.11,1.8,1
57.0,42.7,197.2,0.03,2.51,1
16.3,18.9,139.9,0.29,0.34,0
55.7,19.2,189.5,0.05,3.95,1
16.9,1.2,162.5,0.27,0.71,0
56.1,35.6,219.4,0.17,2.39,1
4.9,12.7,117.7,0.3,0.47,0
53.5,70.0,228.9,0.18,1.78,1
16.8,4.6,110.6,0.38,0.49,1
13.3,12.9,127.0,0.25,0.53,1
16.4,8.1,130.2,0.27,0.54,0
40.0,39.3,182.3,0.05,1.13,1
6.7,6.4,123.7,0.32,0.35,0
74.3,43.6,230.8,0.07,2.37,1
66.9,30.1,209.9,0.09,2.15,1
31.8,51.1,203.8,0.06,0.52,0
28.2,15.4,131.8,0.29,0.9,0
12.3,16.6,125.6,0.29,0.52,0
117.4,0.5,218.9,0.15,2.37,1
25.7,13.5,119.4,0.16,0.43,0
12.7,7.9,129.2,0.2,0.61,0
16.5,9.2,151.2,0.31,1.06,0
14.9,10.9,136.8,0.31,0.4,0
19.2,11.3,129.7,0.16,0.27,0
12.1,2.4,169.3,0.15,0.92,0
14.9,11.9,149.8,0.28,0.36,1
62.0,47.6,239.5,0.04,3.36,1
54.5,19.7,244.2,0.06,1.57,1
83.0,74.5,218.7,0.07,2.59,1
17.1,4.9,158.3,0.25,0.45,0
26.8,9.0,162.7,0.3,0.26,0
12.1,6.7,135.1,0.24,0.73,0
90.8,42.0,203.2,0.03,0.0,1
48.5,30.4,194.3,0.07,1.78,1
10.2,19.2,149.7,0.31,0.64,0
73.6,55.3,208.8,0.1,2.16,0
8.5,13.2,140.4,0.25,0.5,0
9.0,6.2,134.4,0.22,0.67,0
15.9,14.5,166.0,0.25,0.77,0
12.2,16.9,172.7,0.24,0.56,0
63.6,34.5,169.8,0.21,1.01,1
32.0,50.0,170.3,0.08,1.69,1
9.4,1.8,117.1,0.27,0.16,0
12.8,13.6,163.6,0.13,0.54,0
10.1,5.2,140.4,0.22,0.43,0
24.8,15.7,157.6,0.22,0.43,1
58.2,18.4,169.2,0.13,3.52,1
58.0,22.3,220.0,0.14,2.68,1
66.8,44.2,211.5,0.04,3.67,1
12.1,15.7,151.4,0.22,0.79,0
17.9,11.1,113.0,0.27,0.39,0
9.8,3.7,137.9,0.18,0.47,1
13.3,11.1,150.3,0.24,0.7,0
56.9,63.9,237.9,0.06,2.68,1
17.9,6.3,97.2,0.31,0.72,0
15.5,8.5,131.3,0.25,0.46,0
59.4,33.3,297.9,0.13,2.33,1
17.6,10.1,135.0,0.23,0.44,0
16.9,17.2,120.7,0.29,0.16,0
0.7,14.5,172.0,0.23,0.06,0
20.0,3.2,123.8,0.29,0.07,0
8.5,7.3,138.4,0.15,0.76,0
22.7,9.6,142.7,0.35,1.0,0
10.3,0.0,144.8,0.32,0.72,0
17.2,0.7,158.0,0.26,0.78,0
16.4,12.4,138.7,0.34,0.42,0
49.4,29.7,168.8,0.15,0.53,1
21.7,4.3,148.7,0.1,0.58,0
12.0,15.0,133.1,0.27,0.32,0
12.2,6.8,138.3,0.26,0.2,0
54.6,35.7,247.8,0.0,3.83,1
14.5,4.8,151.7,0.26,0.47,1
88.2,3.4,219.3,0.13,1.56,1
29.1,38.7,238.7,0.12,1.39,1
18.9,6.0,167.4,0.27,0.87,0
17.5,6.7,147.1,0.17,0.55,1
72.3,36.3,248.6,0.14,2.15,1
65.1,67.9,179.2,0.15,3.11,1
77.8,40.8,190.6,0.04,1.66,1
18.4,8.2,145.3,0.24,0.25,0
59.3,37.3,227.2,0.14,2.42,1
58.7,44.3,276.6,0.16,2.36,1
14.1,12.6,104.4,0.26,0.51,0
21.9,10.5,168.7,0.24,0.65,0
10.7,10.0,115.2,0.27,0.57,0
21.0,6.2,132.9,0.3,0.49,0
68.7,42.1,240.2,0.12,1.88,1
9.8,13.1,156.3,0.2,0.63,0
88.7,43.0,265.4,0.15,0.26,0
14.3,11.7,128.7,0.25,0.76,0
11.5,18.6,122.3,0.25,0.53,1
25.1,22.3,179.0,0.15,0.31,0
12.9,0.0,135.1,0.34,0.3,0
86.4,44.5,155.9,0.06,3.15,1
80.7,11.5,150.8,0.0,1.38,0
18.1,15.1,162.6,0.3,0.05,0
19.4,10.8,163.8,0.3,0.6,0
37.9,30.2,195.5,0.1,3.02,1
47.2,37.0,227.4,0.05,3.88,1
27.4,16.6,171.6,0.25,0.53,0
30.7,3.8,141.7,0.27,0.36,0
60.3,50.5,175.6,0.17,3.21,0
8.7,11.3,104.2,0.25,0.34,1
17.5,19.5,139.2,0.28,0.82,1
46.1,52.2,218.8,0.11,5.11,1
24.4,19.8,182.9,0.22,0.78,0
60.7,33.8,243.8,0.02,3.06,1
10.4,6.8,130.8,0.24,0.97,0
16.1,9.2,121.8,0.26,0.59,0
43.1,49.9,182.6,0.08,2.63,0
15.6,1.2,117.8,0.2,0.51,0
14.3,12.3,101.7,0.28,0.6,0
12.8,12.1,137.5,0.2,0.66,0
52.7,61.1,213.6,0.11,3.82,1
14.3,12.1,166.4,0.25,0.68,0
87.2,14.4,244.1,0.14,3.21,1
84.9,69.3,174.8,0.07,2.04,1
44.7,52.2,208.9,0.04,1.55,1
39.2,30.4,205.4,0.16,2.48,1
59.0,51.4,218.6,0.06,1.83,1
9.9,23.1,105.2,0.23,0.32,0
66.7,51.5,233.5,0.06,2.57,1
64.7,34.1,202.6,0.12,3.97,1
68.6,51.4,220.5,0.0,2.2,1
10.0,0.0,150.6,0.22,0.6,0
42.1,46.4,148.9,0.14,1.91,1
8.9,10.0,135.5,0.29,0.57,0
13.3,9.6,120.6,0.2,0.71,1
69.8,34.7,174.3,0.0,2.79,0
23.9,8.6,141.2,0.14,0.6,1
15.8,9.0,103.2,0.26,0.6,0
54.4,44.9,227.2,0.15,2.84,1
59.7,22.5,148.2,0.18,1.84,1
49.7,35.3,249.1,0.03,4.31,1
53.3,57.5,261.8,0.18,1.56,1
11.6,7.2,120.5,0.16,0.7,0
13.6,12.7,159.5,0.22,0.45,0
13.3,11.7,162.3,0.27,0.84,0
15.9,7.0,109.0,0.17,0.45,0
44.3,44.1,179.0,0.09,1.96,1
17.8,14.7,174.4,0.22,0.8,0
58.6,18.1,188.1,0.17,3.3,1
17.9,13.5,158.2,0.27,0.76,0
8.7,13.2,150.9,0.21,0.5,0
15.6,8.2,162.3,0.27,0.43,0
14.2,9.2,198.4,0.33,0.65,1
54.6,7.7,258.5,0.18,1.91,1
51.5,20.6,222.5,0.15,2.95,1
9.5,17.3,118.1,0.28,1.27,0
18.2,14.3,160.2,0.24,0.14,0
21.4,26.8,208.9,0.02,3.79,1
88.0,65.4,226.7,0.12,0.2,1
15.5,15.1,124.6,0.26,0.89,0
24.1,13.6,151.4,0.27,0.56,0
10.8,8.4,120.3,0.3,0.81,0
18.5,5.0,119.3,0.32,0.55,0
18.6,1.8,129.7,0.26,0.32,0
68.6,37.0,199.9,0.15,3.25,1
11.1,8.3,140.0,0.27,0.16,0
10.7,14.7,142.5,0.23,0.4,0
65.7,44.8,294.4,0.13,2.99,1
17.0,4.0,145.1,0.21,1.0,0
10.8,8.5,138.2,0.29,0.66,0
13.4,7.8,156.6,0.23,0.29,0
21.7,12.3,117.6,0.18,0.63,0
17.6,6.4,179.3,0.19,0.52,0
30.9,15.9,146.3,0.21,0.62,0
10.1,13.9,142.5,0.3,0.3,0
22.3,8.8,128.1,0.23,0.78,0
10.1,14.6,157.7,0.21,0.54,0
11.5,8.2,142.7,0.24,0.52,1
9.9,8.0,157.6,0.19,0.37,0
12.1,16.7,164.1,0.28,0.63,0
59.4,23.5,272.1,0.12,3.55,1
13.6,9.5,159.3,0.18,0.6,0
52.6,53.2,219.4,0.15,2.01,1
10.6,10.3,142.5,0.24,0.59,0
16.0,14.0,155.8,0.22,0.34,0
62.3,40.5,193.5,0.12,4.18,1
15.7,3.8,106.5,0.19,0.11,0
49.7,15.9,221.8,0.11,2.26,1
22.8,2.2,130.2,0.27,0.57,1
55.7,63.7,201.9,0.12,4.07,1
7.7,10.1,187.7,0.31,0.29,0
15.7,7.0,131.9,0.22,0.35,0
9.5,4.3,96.9,0.26,0.54,0
8.3,13.4,120.2,0.3,0.62,0
12.5,15.8,123.9,0.2,0.95,0
11.0,0.0,153.8,0.15,0.62,0
54.3,47.4,215.6,0.03,2.45,1
10.9,10.6,135.4,0.31,0.53,0
75.3,60.2,270.0,0.1,1.13,1
15.8,18.6,109.6,0.27,0.59,0
9.3,6.0,121.4,0.29,0.52,0
40.6,25.7,246.7,0.05,1.74,1
16.6,8.1,161.6,0.24,0.71,0
16.0,12.0,113.7,0.16,0.5,0
13.3,11.6,110.0,0.2,0.2,0
65.2,31.1,211.1,0.11,3.44,1
17.3,11.5,177.5,0.35,0.26,0
11.6,4.5,162.7,0.23,0.71,0
22.7,14.6,105.7,0.24,0.14,0
9.3,8.3,133.2,0.26,0.59,0
67.3,39.6,280.9,0.15,2.27,1
12.6,8.0,143.1,0.27,0.53,0
15.6,0.0,128.5,0.22,0.7,0
37.3,28.4,221.2,0.13,1.48,1
22.2,0.0,143.0,0.16,0.02,0
69.9,43.8,166.3,0.06,1.45,1
70.4,50.7,215.9,0.12,2.56,1
72.7,39.9,159.0,0.08,1.54,1
83.4,12.0,209.0,0.1,3.82,0
6.3,13.4,149.6,0.27,1.07,0
16.3,14.8,148.6,0.24,0.39,0
22.4,10.6,107.8,0.25,0.7,0
8.4,7.7,117.3,0.22,0.77,0
54.9,68.9,271.2,0.07,2.58,1
75.9,39.0,259.5,0.03,2.68,1
19.4,15.4,162.4,0.25,0.51,0
55.4,38.7,278.6,0.15,2.55,1
18.9,15.3,142.5,0.19,0.42,0
21.7,0.0,127.5,0.28,0.36,0
68.5,30.1,204.8,0.14,2.5,1
56.9,29.6,225.0,0.09,3.05,1
15.7,5.1,116.7,0.25,0.6,0
52.3,44.8,266.1,0.09,2.32,1
71.7,33.3,173.3,0.14,2.79,1
21.0,0.0,99.2,0.18,0.62,1
11.3,15.1,145.8,0.23,0.27,0
37.0,36.8,228.1,0.08,1.75,1
56.6,42.1,183.3,0.11,2.73,1
50.8,39.4,204.8,0.05,2.66,1
16.5,2.8,75.9,0.3,0.67,0
26.5,13.1,110.3,0.33,0.46,0
46.5,74.1,186.0,0.14,1.68,1
11.7,7.8,147.0,0.29,0.46,1
16.1,8.9,124.7,0.28,0.48,0
53.0,48.5,215.5,0.14,2.55,1
11.9,9.4,139.2,0.24,0.64,0
87.3,49.9,259.1,0.14,2.85,1
29.1,16.9,173.8,0.06,3.84,1
15.5,6.8,150.2,0.28,0.27,0
15.3,0.0,144.8,0.3,0.4,0
10.6,15.9,134.9,0.22,0.64,0
24.5,19.1,163.1,0.24,0.19,0
13.4,18.7,169.6,0.23,0.31,1
23.6,6.5,140.3,0.34,0.08,0
66.9,38.0,253.2,0.12,4.28,1
13.6,6.7,147.3,0.28,0.48,0
65.3,46.5,206.8,0.14,2.68,1
14.8,3.3,121.9,0.19,0.55,1
8.3,7.8,90.9,0.3,0.45,0
41.7,63.8,211.4,0.11,2.16,1
11.9,11.2,157.2,0.21,0.44,0
82.9,37.9,242.4,0.13,1.88,1
34.2,36.5,189.7,0.11,2.23,1
66.8,21.4,268.8,0.12,2.51,1
21.2,16.3,87.0,0.24,0.49,0
75.5,52.9,179.2,0.12,2.53,1
15.6,7.6,164.5,0.26,0.05,0
46.1,25.0,202.5,0.12,1.94,1
19.9,6.4,125.1,0.28,0.59,0
18.0,8.6,120.5,0.21,0.29,0
53.5,51.1,256.7,0.12,2.24,1
9.2,10.3,120.8,0.35,0.52,0
84.1,44.1,267.7,0.14,2.04,1
65.4,33.3,240.8,0.12,0.66,0
62.1,41.8,226.3,0.08,2.54,1
53.0,48.2,193.3,0.02,3.75,1
21.3,10.5,167.0,0.21,0.5,0
79.2,42.5,177.9,0.16,3.96,1
14.0,15.4,131.8,0.24,0.53,0
50.9,42.8,211.2,0.08,2.22,1
67.5,27.8,216.2,0.07,1.98,1
20.0,1.2,177.4,0.28,0.54,0
10.5,10.9,178.1,0.28,0.29,1
12.0,15.2,150.5,0.23,0.36,0
17.5,13.1,128.5,0.32,0.78,0
14.6,5.2,179.0,0.26,0.5,0
8.3,10.2,157.4,0.27,0.71,0
19.3,4.1,133.4,0.19,0.2,0
16.9,6.2,123.0,0.23,0.55,0
13.1,7.2,172.0,0.24,0.56,0
13.6,12.7,103.1,0.24,0.38,0
18.7,5.1,108.8,0.2,0.47,0
17.3,6.5,144.3,0.17,0.53,0
16.5,9.9,128.1,0.26,0.57,0
75.4,46.3,179.2,0.0,3.23,1
44.5,29.2,193.3,0.12,2.74,0
17.5,9.7,103.7,0.19,0.6,0
63.5,13.8,153.1,0.07,2.41,1
15.0,14.2,143.9,0.22,0.53,0
19.4,6.1,144.7,0.29,0.75,1
11.4,15.9,166.6,0.25,0.75,0
13.5,9.0,125.1,0.24,0.24,0
0.5,2.9,137.6,0.25,0.4,0
70.9,6.7,236.8,0.0,3.09,1
20.7,1.2,132.1,0.22,0.55,1
14.1,2.9,149.1,0.23,0.82,0
11.5,10.3,144.8,0.22,0.48,1
80.0,41.5,265.0,0.12,2.39,1
57.1,62.6,190.1,0.19,3.68,1
17.3,7.6,121.8,0.38,0.65,0
19.7,9.5,140.6,0.28,0.76,0
11.9,15.2,116.4,0.24,0.33,1
80.4,44.1,208.0,0.06,1.38,1
16.5,11.1,133.9,0.26,0.26,0
11.1,11.5,192.1,0.31,0.39,0
19.4,14.5,125.2,0.22,0.32,0
16.8,6.5,124.3,0.34,0.48,0
50.3,51.1,239.4,0.1,2.57,1
75.7,24.4,186.6,0.1,0.67,1
43.3,31.9,218.4,0.02,3.32,1
14.9,9.2,171.1,0.3,0.5,0
74.5,56.6,325.4,0.06,2.22,1
71.1,43.6,167.9,0.11,1.68,1
34.3,21.2,303.1,0.1,2.85,1
34.4,33.1,203.6,0.12,4.35,1
84.3,37.3,195.1,0.13,2.75,1
18.4,0.2,113.8,0.18,0.46,0
62.1,13.2,260.5,0.13,2.19,1
33.2,30.1,220.2,0.13,2.42,1
8.8,20.2,125.7,0.33,0.54,0
37.2,65.5,226.4,0.05,3.42,0
17.9,7.1,144.0,0.24,0.86,0
71.5,56.0,255.8,0.16,2.15,1
18.9,4.6,123.8,0.31,0.35,0
13.3,7.9,164.7,0.33,0.31,0
10.4,9.7,118.1,0.29,0.59,1
67.5,22.5,155.5,0.02,4.72,1
8.2,13.1,197.4,0.17,0.39,0
14.9,2.5,127.8,0.24,0.51,0
108.2,38.7,196.5,0.08,2.08,1
11.4,11.3,162.4,0.19,0.28,0
25.4,0.0,145.7,0.19,0.54,1
77.9,48.6,190.8,0.15,1.22,1
6.2,1.2,129.5,0.23,0.43,0
49.2,24.4,206.7,0.03,2.08,1
9.9,6.4,109.0,0.16,0.56,0
9.1,13.9,140.7,0.22,0.52,0
20.1,6.3,135.3,0.31,0.9,0
42.0,50.7,237.8,0.13,2.05,1
51.1,19.0,238.1,0.05,1.98,0
13.5,4.4,141.4,0.2,0.29,0
78.6,32.5,176.0,0.05,2.07,1
23.2,12.4,134.2,0.23,0.42,0
73.8,29.0,169.0,0.0,2.44,1
21.1,27.2,266.4,0.09,2.83,0
15.4,4.5,137.4,0.24,0.35,0
55.8,26.3,166.3,0.07,3.5,1
62.5,53.7,231.8,0.14,1.57,1
17.1,8.2,138.4,0.25,0.28,0
12.7,7.2,120.9,0.19,0.55,0
32.2,41.0,189.4,0.11,2.11,1
67.1,49.9,271.3,0.15,2.87,1
17.8,14.4,140.3,0.19,0.19,0
14.0,10.6,120.3,0.3,0.37,0
23.4,9.7,130.2,0.18,0.69,0
18.3,12.9,147.5,0.22,0.68,0
20.5,11.5,140.7,0.29,0.52,0
47.4,50.4,166.9,0.06,3.33,1
80.8,54.7,268.6,0.05,0.78,1
14.9,4.9,163.3,0.15,0.41,0
56.8,33.4,202.5,0.1,2.77,1
59.0,25.8,261.2,0.12,4.34,1
75.9,32.6,245.9,0.01,2.05,1
8.0,12.7,163.1,0.23,0.35,0
10.0,15.8,113.0,0.23,0.43,0
50.1,23.9,194.3,0.16,3.02,1
12.9,12.4,189.4,0.26,0.75,0
52.8,55.5,200.7,0.0,2.26,1
9.3,13.0,90.1,0.2,0.23,1
50.8,38.0,280.6,0.17,0.67,1
51.3,47.7,215.2,0.1,1.98,1
20.3,5.0,102.2,0.23,0.4,0
35.7,44.1,198.7,0.09,4.39,1
62.4,34.0,146.3,0.06,2.61,1
15.8,11.5,137.0,0.23,0.68,0
17.5,0.6,139.4,0.22,0.27,0
15.1,4.2,122.3,0.2,0.65,0
38.5,50.7,225.2,0.03,2.9,1
19.6,18.4,125.9,0.26,0.46,0
21.4,9.3,151.8,0.28,0.33,0
36.9,32.5,272.4,0.19,2.46,1
23.2,13.3,141.9,0.34,0.84,0
15.7,10.8,171.6,0.2,0.42,0
83.2,38.3,229.8,0.11,4.38,0
62.1,37.9,175.8,0.18,1.53,1
