Pack_Voltage,Pack_Current,Instant_Power,Cell_Max,Cell_Min,Pack_Temp,Thermal_Grad,Inverter_Temp,Ambient_Temp,Coolant_Flow,Iso_Resistance,Gas_PPM,SoP,Label_Safety
338.81,33.54,13.08,4.17,4.05,53.88,0.0,64.47,25.13,8.51,517.37,0.0,105.1,1
347.59,160.04,43.88,4.18,3.98,48.35,1.75,61.8,41.7,6.84,530.89,11.3,123.6,1
359.73,118.05,36.19,4.15,4.18,32.63,0.87,37.87,6.61,11.38,376.17,7.7,92.7,0
354.1,20.07,7.1,4.17,4.15,37.52,0.0,37.62,5.43,10.07,388.35,2.8,113.3,0
367.51,31.04,9.94,4.06,3.95,52.9,2.51,55.13,22.46,10.09,161.26,30.4,100.1,1
347.79,18.95,6.13,4.1,4.08,25.74,0.34,26.38,29.81,4.89,507.49,0.0,122.7,1
349.36,53.26,17.39,4.18,4.15,47.26,0.0,43.36,15.6,12.51,341.09,14.8,117.0,0
355.27,41.2,15.24,4.19,4.08,55.59,1.2,59.11,10.38,11.33,408.3,20.2,118.9,0
370.39,35.7,17.37,4.13,4.11,41.98,0.06,47.4,23.69,0.0,381.66,17.3,127.7,0
339.93,36.31,17.43,4.12,3.81,83.1,1.55,78.18,-0.71,8.51,19.42,251.0,63.8,2
343.25,46.93,17.83,4.19,3.81,67.7,2.46,68.16,33.94,4.2,73.33,183.3,99.1,2
348.29,49.14,17.78,4.2,3.91,72.89,1.33,80.02,29.98,5.54,0.0,304.0,92.1,2
320.88,48.47,18.18,4.18,3.99,29.31,1.35,31.0,25.64,9.05,290.63,85.6,123.5,0
352.03,6.8,3.17,4.17,3.93,97.5,0.71,108.7,36.67,0.0,154.03,146.9,63.7,2
352.18,112.13,40.36,4.2,3.98,20.18,1.26,24.68,17.79,4.36,83.54,9.8,134.6,1
348.69,24.55,6.07,4.17,4.06,66.42,1.5,66.47,0.11,7.08,599.48,37.3,91.8,1
355.18,45.48,17.77,4.13,3.59,70.15,3.19,72.47,33.13,3.31,0.0,74.4,106.1,2
332.63,18.79,5.99,4.19,3.95,45.04,2.13,53.51,45.1,6.12,319.68,67.3,121.8,1
336.55,84.92,23.88,4.19,3.64,50.98,1.82,56.16,26.91,0.0,153.04,248.8,128.5,2
334.3,60.8,28.46,4.17,4.01,58.61,2.71,69.84,30.65,1.29,0.0,45.1,100.0,2
333.2,102.77,27.22,4.18,4.1,34.73,0.0,41.76,51.21,14.17,411.44,12.8,101.3,0
336.05,35.62,12.62,4.16,4.1,73.65,0.0,73.93,29.12,3.64,0.0,60.6,104.1,2
330.68,105.51,35.34,4.19,4.14,66.17,1.84,69.62,29.69,7.17,460.57,2.4,103.2,0
343.13,0.85,0.39,4.16,3.83,83.74,0.0,86.99,22.72,10.84,65.21,162.1,90.2,2
366.22,39.91,13.7,4.1,3.65,40.02,0.77,41.65,23.16,0.0,0.0,195.1,107.0,2
346.48,24.26,9.75,4.11,4.12,4.23,0.0,15.49,26.61,7.74,408.26,11.4,153.1,0
336.54,89.85,26.14,4.19,4.17,35.98,2.91,42.38,16.61,8.76,209.71,9.3,134.4,0
346.96,109.6,38.03,4.15,3.67,108.94,1.36,105.35,12.63,1.6,279.17,358.8,58.6,2
351.76,148.34,45.98,4.13,4.14,52.01,3.48,61.49,31.03,7.03,259.24,47.6,116.3,1
343.32,70.23,24.76,4.18,4.09,25.76,1.36,23.73,20.52,8.0,459.13,12.8,129.2,1
314.06,51.18,18.01,4.17,3.98,61.4,2.94,66.96,26.38,2.68,543.1,49.2,87.8,1
353.52,69.19,26.52,4.19,4.07,40.81,1.81,49.02,21.63,3.72,224.3,57.0,116.4,1
334.43,119.12,37.57,4.15,4.15,68.45,0.0,73.62,19.22,7.09,365.74,20.6,104.7,1
354.76,66.73,28.16,4.17,4.16,36.64,0.0,41.26,17.45,5.42,277.38,14.1,125.6,0
331.79,45.47,17.67,4.18,4.0,26.95,0.72,37.08,51.42,10.53,450.4,17.8,134.4,1
333.12,16.26,5.05,4.17,4.16,35.59,0.16,36.42,42.37,7.88,506.69,9.5,110.8,0
368.32,65.36,23.61,4.18,4.13,39.54,0.0,45.86,24.6,5.43,453.44,62.0,125.8,1
353.5,31.28,9.76,4.19,3.78,77.34,2.17,77.86,35.63,5.95,83.73,62.9,111.5,2
346.9,18.76,7.58,4.16,3.61,53.48,2.45,57.91,26.48,0.0,153.42,77.3,99.6,2
362.4,61.29,30.28,4.15,4.15,37.52,0.0,36.32,25.28,3.68,603.64,10.8,120.2,0
383.14,111.62,50.17,4.18,3.85,4.19,0.89,7.47,28.16,8.31,215.96,0.0,141.0,2
351.63,17.58,5.08,4.13,3.84,64.01,1.01,77.57,32.11,0.0,164.13,1.8,79.6,2
372.91,30.92,11.29,4.13,4.17,29.85,1.24,36.79,14.6,2.28,294.62,86.0,126.0,1
345.52,45.67,14.04,4.15,4.03,46.78,2.12,45.97,40.82,7.55,500.33,3.5,108.6,0
342.85,7.82,2.2,4.12,4.06,51.94,0.0,55.61,38.7,6.5,341.14,13.5,120.4,1
362.44,34.73,13.32,4.18,4.08,49.52,0.0,53.41,34.69,4.69,337.81,77.0,104.1,1
340.93,79.91,30.17,4.17,4.05,50.79,1.34,52.94,21.42,2.24,244.17,39.0,135.7,1
334.95,46.75,20.09,4.16,4.03,54.53,1.13,56.53,26.4,0.62,295.91,0.0,107.1,1
343.95,63.38,25.77,4.19,4.08,64.53,0.35,70.1,26.86,8.97,485.4,42.3,107.6,1
346.38,118.67,45.26,4.18,4.12,65.28,0.77,65.64,13.66,8.8,266.81,14.6,94.3,1
340.27,54.34,16.98,4.19,4.02,71.21,1.15,78.89,0.48,10.51,318.98,0.0,76.9,1
338.37,125.61,39.91,4.17,4.12,25.44,0.43,27.44,37.42,6.02,344.23,12.8,124.5,0
340.24,70.99,21.99,4.17,3.54,56.72,4.94,60.49,15.25,2.75,187.77,164.6,103.1,2
342.6,19.68,8.47,4.17,4.05,57.72,0.08,60.9,21.54,1.59,386.05,59.9,105.6,1
350.87,89.1,36.55,4.19,4.05,31.69,0.0,41.15,20.73,9.04,217.4,72.0,130.2,1
337.81,40.41,14.51,4.16,4.16,40.26,0.0,52.11,24.21,4.4,164.26,38.5,122.9,1
346.83,73.84,31.71,4.2,4.09,57.52,0.21,60.01,51.85,0.0,182.28,11.0,112.1,1
326.93,51.01,20.01,4.18,4.1,34.01,2.28,41.19,21.55,9.76,719.5,19.9,116.0,1
349.0,103.91,36.26,4.18,4.15,41.12,0.0,59.41,43.0,6.35,523.82,49.1,116.4,1
353.9,43.92,17.79,4.13,3.99,113.33,0.0,112.3,17.93,5.67,221.27,87.5,63.0,2
377.03,53.27,22.49,4.14,3.51,58.12,2.39,60.7,30.31,5.56,0.0,197.7,96.9,0
359.24,50.24,19.11,4.17,4.04,50.56,0.0,53.9,32.03,0.0,305.94,33.2,134.5,1
336.4,18.96,6.86,4.15,3.53,69.3,3.0,72.51,37.27,3.43,0.0,190.2,82.5,2
350.74,68.35,26.7,4.17,4.13,40.26,0.0,40.07,37.92,13.36,255.6,24.4,123.7,0
358.09,82.54,33.66,4.18,4.07,58.11,0.0,62.4,25.98,0.35,359.57,72.5,116.1,1
306.7,118.28,39.72,4.18,4.09,35.93,0.07,44.2,19.69,13.77,302.89,0.2,110.7,0
334.57,52.14,10.49,4.13,4.09,56.53,0.0,66.82,8.85,11.06,464.28,2.4,92.9,0
361.63,47.98,24.89,4.08,4.05,54.02,1.29,60.26,25.8,11.07,422.85,28.2,105.2,1
334.45,21.59,5.42,4.2,3.61,102.59,1.49,104.14,26.38,9.34,96.01,77.2,70.3,2
349.42,31.14,12.07,4.19,4.1,49.89,0.0,50.64,19.97,9.79,566.18,3.4,121.7,0
353.8,25.0,8.28,4.18,4.02,62.91,1.21,64.43,19.93,7.07,286.99,19.7,76.7,1
309.43,56.22,15.42,4.15,4.15,44.0,1.25,49.53,23.17,10.59,448.77,5.4,115.4,0
335.87,75.05,26.25,4.19,4.16,27.16,0.53,30.19,31.55,5.57,487.51,3.0,120.3,0
356.3,64.03,24.0,4.18,4.14,48.1,2.23,50.46,29.32,8.41,513.89,7.6,109.2,0
351.01,21.22,5.61,4.15,4.19,5.46,2.14,15.76,27.14,8.27,396.78,3.8,151.2,0
365.06,107.64,38.14,4.09,3.95,100.4,0.66,99.58,20.87,2.5,167.56,119.2,70.0,0
332.95,70.06,20.73,4.16,4.1,22.55,0.79,19.02,34.82,8.72,385.15,11.4,137.0,0
352.37,92.71,24.76,4.18,4.17,41.34,1.15,49.58,20.47,8.06,351.54,1.8,114.7,0
336.78,12.24,3.07,4.15,4.15,11.17,0.0,12.84,21.83,9.81,404.35,2.3,144.8,0
331.37,8.03,2.66,4.19,3.98,62.83,1.48,67.66,35.49,1.24,118.07,291.8,92.9,2
322.85,69.56,22.22,4.2,4.09,37.54,0.0,43.93,27.73,5.57,274.12,4.6,131.4,0
351.55,98.23,38.96,4.2,4.13,40.26,0.09,38.81,9.92,3.2,478.67,4.2,130.6,0
368.21,87.39,32.17,4.17,3.75,18.87,1.24,28.65,24.49,2.17,79.93,448.2,140.1,2
327.57,59.51,18.82,4.18,3.85,101.97,0.91,101.21,26.09,3.12,146.18,148.6,72.3,2
378.07,25.96,14.61,4.18,3.96,45.58,1.65,63.23,15.06,1.97,192.81,0.0,102.3,2
350.09,98.97,25.99,4.15,4.17,25.94,0.2,36.99,32.03,5.71,423.86,13.6,132.8,0
345.47,35.87,9.43,4.16,3.68,25.4,1.6,34.63,3.02,6.96,95.45,71.5,120.9,2
321.38,10.22,3.58,4.16,3.51,43.81,2.58,43.18,24.59,0.0,121.02,319.2,100.2,0
342.08,31.59,11.65,4.12,4.12,46.36,0.12,55.03,17.76,9.79,426.6,1.8,103.9,0
343.86,69.23,27.21,4.18,3.67,64.83,4.26,64.66,22.25,10.62,56.94,230.6,87.3,2
349.86,117.86,37.44,4.18,4.11,35.23,0.0,45.06,38.0,8.74,610.68,3.0,131.4,0
360.54,1.4,0.44,4.15,3.98,23.09,0.76,37.12,51.67,4.53,501.64,0.0,132.5,1
358.06,42.09,25.36,4.19,3.92,102.92,3.25,101.1,23.9,3.78,123.21,199.9,58.2,0
357.87,100.36,46.04,4.15,4.05,59.53,0.0,65.54,29.09,9.12,280.79,44.5,98.1,1
354.76,48.15,19.77,4.12,4.14,36.14,0.14,41.35,31.94,3.9,521.78,4.4,111.9,0
330.0,47.4,20.31,4.17,3.75,63.3,3.13,77.32,25.19,6.06,150.73,0.0,95.3,2
346.68,67.07,21.33,4.13,4.16,46.86,0.99,48.94,16.46,7.5,397.51,13.0,105.5,0
360.94,73.14,31.98,4.18,4.11,24.33,0.0,34.82,25.3,9.05,411.4,0.9,128.0,1
344.23,51.77,23.54,4.1,4.13,46.81,0.0,44.95,36.8,8.35,627.51,13.3,119.9,0
338.31,33.92,10.77,4.09,3.73,106.36,0.42,111.63,33.65,2.37,180.07,356.0,60.1,2
336.84,3.72,1.2,4.19,3.71,116.93,2.13,125.09,21.12,0.0,0.0,269.1,37.1,2
369.71,22.05,9.88,4.18,4.09,47.76,0.0,48.56,31.87,6.65,18.55,38.8,107.4,1
351.37,37.51,13.33,4.16,4.08,24.9,0.0,26.43,29.11,9.74,362.66,5.1,135.4,0
350.08,41.22,18.85,4.09,3.88,77.53,2.34,86.04,32.87,0.99,0.0,0.0,97.3,2
367.42,12.46,6.4,4.2,4.1,40.94,0.42,55.42,21.1,2.89,195.79,0.0,124.1,1
356.22,37.31,14.98,4.19,3.63,104.66,5.32,118.36,5.19,0.2,0.0,86.2,61.8,2
362.95,123.0,51.42,4.19,3.85,135.66,2.2,136.99,44.8,2.06,42.54,358.8,47.9,2
341.13,122.21,32.4,4.11,4.14,32.44,0.0,36.42,56.18,6.78,177.5,9.6,123.9,0
353.68,89.07,27.54,4.14,3.81,46.98,2.19,47.32,15.03,5.65,94.26,144.9,119.3,2
370.66,44.18,15.03,4.18,4.09,0.0,0.0,11.02,36.91,8.88,317.54,2.6,152.2,0
331.87,41.81,12.97,4.17,3.55,38.71,2.84,47.0,28.32,3.08,90.61,164.7,103.4,2
339.9,1.85,0.73,4.19,4.1,68.8,3.73,75.04,8.68,9.08,588.89,17.2,91.5,1
344.6,103.01,42.93,4.16,4.06,55.63,0.0,57.42,18.74,0.0,172.16,187.7,95.7,1
357.43,36.14,12.57,4.15,4.04,36.47,0.38,47.22,29.93,5.77,369.72,2.9,120.4,0
320.8,22.87,9.16,4.18,4.09,33.88,0.72,38.29,20.45,8.67,332.97,3.4,125.3,0
342.9,154.77,67.88,4.19,4.08,57.12,0.49,53.43,25.18,0.5,449.06,59.5,116.4,1
334.73,23.98,10.31,4.15,4.03,60.01,0.34,70.9,38.11,1.19,141.2,235.2,110.6,2
359.95,101.52,42.13,4.11,3.44,82.65,2.41,85.13,27.09,0.0,76.89,30.8,84.5,2
359.14,45.84,18.99,4.12,3.92,14.1,0.0,20.77,19.43,7.86,82.71,41.8,147.5,1
359.0,53.71,19.57,4.17,3.75,78.03,1.05,93.48,34.54,0.0,288.05,26.3,91.1,2
372.44,48.96,12.02,4.17,3.8,116.13,1.2,128.3,16.03,6.19,69.07,211.1,26.8,2
350.6,3.08,1.18,4.15,4.16,41.16,0.39,42.3,24.42,4.49,208.01,3.6,101.9,0
361.64,40.64,18.34,4.19,3.81,90.77,2.32,90.46,35.22,6.15,276.49,429.2,66.8,2
333.82,67.4,24.26,4.18,3.96,48.75,1.73,43.87,16.55,0.0,9.03,226.0,113.1,0
363.18,20.64,6.05,4.15,4.13,42.1,1.12,44.05,28.63,13.92,274.26,52.5,111.2,1
335.99,78.8,38.5,4.2,4.11,36.2,0.0,43.01,21.4,5.29,592.28,57.9,139.7,1
350.95,27.99,8.84,4.11,4.07,54.18,0.26,56.86,13.23,9.89,693.53,1.0,111.3,0
326.21,57.08,15.67,4.15,3.7,119.57,0.93,114.33,37.61,6.94,75.27,0.0,60.5,2
318.2,84.4,26.64,4.16,4.0,77.2,1.73,84.55,25.12,1.27,55.97,97.1,78.4,2
332.69,112.55,37.33,4.16,3.46,93.5,2.13,92.86,34.72,0.0,267.97,184.2,83.9,2
350.77,118.79,44.82,4.17,4.11,39.36,0.0,44.14,1.42,9.47,213.47,1.6,106.4,0
360.01,86.5,26.02,4.15,4.13,26.15,0.54,32.0,16.54,11.57,389.11,14.8,135.2,0
334.21,54.84,16.46,4.18,4.12,38.67,0.51,40.01,16.02,0.0,335.72,66.2,112.7,1
366.46,86.78,47.31,4.16,4.14,30.5,0.0,33.02,18.33,8.04,414.14,6.6,126.7,0
337.09,24.49,9.43,4.15,3.73,36.53,3.76,37.16,40.44,0.0,164.73,159.1,117.4,2
353.28,111.89,25.57,4.18,3.8,46.97,0.25,41.71,13.19,0.0,160.37,160.8,110.0,2
352.13,95.73,38.04,4.15,4.14,48.79,0.19,53.58,32.5,12.12,237.27,13.6,90.8,0
295.98,81.31,20.19,4.19,3.92,83.36,2.0,92.87,20.0,2.14,71.0,66.1,88.7,2
347.6,101.27,25.28,4.18,3.93,69.15,2.04,68.59,18.43,8.97,80.39,191.0,104.6,2
361.3,65.35,26.34,4.14,4.16,25.86,0.0,25.77,19.95,10.11,384.04,6.8,142.9,0
328.53,74.91,25.43,4.12,4.16,30.63,0.0,35.64,26.18,12.91,684.17,53.3,108.8,0
347.89,75.43,21.99,4.13,3.71,142.76,3.09,154.72,25.22,5.84,151.99,171.0,39.0,2
384.76,112.57,49.49,4.15,3.79,95.25,3.34,100.1,50.99,0.0,27.51,155.4,56.6,2
356.66,101.6,28.85,4.19,3.84,92.35,1.16,102.42,26.08,1.84,216.65,239.1,102.2,2
366.92,47.27,13.52,4.15,4.06,82.9,1.05,94.55,22.9,5.77,358.36,32.7,82.9,1
354.44,116.61,37.9,4.17,4.09,64.51,0.37,75.88,16.37,1.13,243.09,46.5,112.6,1
361.5,2.74,1.06,4.18,4.07,37.61,0.0,30.09,32.06,8.52,270.04,0.0,118.5,1
347.27,125.08,39.45,4.17,4.13,38.36,0.82,41.99,30.73,13.57,408.65,24.1,115.4,1
339.28,101.87,36.84,4.2,4.03,50.52,0.02,51.91,27.08,0.11,663.12,38.9,114.9,1
362.94,26.08,8.62,4.19,4.13,46.6,1.18,46.91,30.82,7.81,401.89,1.4,118.7,0
334.27,9.56,3.98,4.19,4.13,41.35,0.4,45.82,37.17,5.67,467.95,0.0,101.8,0
330.01,80.6,37.38,4.19,3.98,26.66,0.71,34.66,26.12,9.48,218.91,37.2,137.8,1
338.81,82.61,29.02,4.18,4.14,49.5,0.69,53.66,30.63,12.96,316.26,35.7,118.1,1
351.4,76.74,26.07,4.2,4.16,74.1,0.0,75.84,16.55,13.31,277.94,29.7,95.2,1
363.64,0.81,0.24,4.2,3.63,75.11,2.74,84.09,27.89,0.04,161.81,166.5,93.4,2
351.14,94.09,29.05,4.18,4.07,60.06,1.12,57.13,22.08,2.47,500.38,0.0,105.5,1
355.92,50.7,21.44,4.16,3.82,88.82,1.77,90.77,26.65,0.0,74.77,86.0,81.9,2
341.58,153.79,59.96,4.07,4.17,25.64,0.0,23.25,30.34,3.28,291.04,6.7,109.1,0
360.39,103.19,47.43,4.19,4.15,102.42,0.0,105.93,23.55,0.0,244.15,385.3,58.6,2
352.83,34.65,11.75,4.19,4.09,49.43,0.0,54.02,16.82,4.16,201.27,57.8,76.4,1
356.95,77.53,30.69,4.07,4.2,71.91,0.0,70.8,3.63,2.08,324.16,3.0,91.4,0
356.33,25.84,11.59,4.12,4.18,47.77,0.0,56.47,24.62,13.7,110.19,19.7,109.4,0
362.3,21.35,5.67,4.18,4.11,59.04,1.53,70.67,33.39,7.2,446.74,0.9,110.9,0
335.66,28.29,8.61,4.09,4.05,0.0,2.09,0.0,12.31,3.04,144.45,236.3,171.9,2
348.09,0.62,0.17,4.16,4.14,0.0,0.0,0.0,23.25,0.0,255.96,81.4,165.9,1
352.5,104.87,33.27,4.13,4.16,35.05,0.04,49.13,25.95,9.31,449.86,11.4,116.8,2
337.9,80.49,27.84,4.18,4.11,36.49,0.0,42.46,34.73,7.13,355.32,16.1,131.6,0
336.79,33.32,10.75,4.15,4.03,29.13,0.89,32.85,20.58,10.53,447.72,1.7,114.4,0
370.7,115.76,39.68,4.17,3.78,72.25,0.07,79.4,9.25,1.53,166.51,69.0,104.4,2
347.43,188.35,54.84,4.17,4.12,68.7,0.0,81.57,35.1,8.06,90.92,77.6,80.0,2
352.06,36.16,7.77,4.13,4.1,68.06,0.0,74.14,25.54,3.56,445.59,42.0,100.2,1
363.75,42.71,13.02,4.12,3.59,68.69,4.34,73.63,31.48,4.63,78.31,325.2,94.6,2
327.52,124.76,31.17,4.12,4.1,29.7,1.72,35.63,35.8,4.56,530.3,5.1,117.1,0
375.14,54.48,17.75,4.15,4.03,40.8,0.0,43.94,35.42,1.97,53.83,54.3,123.7,1
345.56,21.75,6.87,4.16,4.08,31.01,0.93,36.73,9.37,8.81,336.12,5.7,132.4,0
331.63,34.6,7.07,4.19,4.09,30.8,0.0,38.2,33.95,6.67,512.54,3.4,123.5,0
342.14,0.82,0.27,4.16,3.73,38.89,3.68,46.08,37.96,2.99,73.55,212.6,108.8,2
350.82,30.28,11.94,4.18,3.95,66.31,1.29,75.11,18.92,2.57,584.72,31.6,102.1,1
352.08,84.73,30.52,4.19,3.72,53.32,3.45,61.8,29.05,0.0,32.62,261.2,108.2,2
336.46,167.93,59.24,4.16,3.61,61.28,3.49,65.34,33.41,0.41,69.32,256.5,92.7,1
347.6,50.26,17.67,4.19,4.0,42.61,2.09,48.36,32.12,12.57,68.57,0.0,126.2,1
368.22,116.04,64.38,4.17,4.18,39.66,0.13,45.14,28.76,6.99,303.57,23.6,113.4,0
349.15,24.38,7.55,4.17,4.12,19.81,0.47,18.19,20.64,10.31,630.46,2.9,142.9,0
353.74,37.63,13.8,4.19,3.95,55.27,0.0,64.32,27.31,6.94,429.61,39.6,106.8,1
367.84,3.36,0.9,4.2,4.11,38.68,1.15,47.8,29.95,15.96,431.12,2.3,102.9,0
354.69,55.58,22.5,4.08,4.03,49.09,0.0,66.79,46.19,7.32,485.62,41.1,97.5,1
354.87,51.84,11.7,4.18,4.07,62.26,0.0,58.08,33.14,7.79,207.59,14.0,90.9,1
342.97,130.79,56.06,4.1,3.86,80.36,1.72,80.37,27.7,0.0,82.8,326.2,84.4,2
360.14,8.16,2.83,4.13,4.12,61.68,0.51,69.67,9.11,7.35,192.88,31.3,113.6,1
343.63,44.02,10.8,4.15,3.85,91.24,1.53,101.66,24.58,1.13,31.77,0.0,74.2,2
369.0,21.16,7.63,4.17,4.11,48.66,0.95,56.34,37.09,5.05,671.21,10.5,93.3,0
376.57,91.17,38.86,4.16,4.18,47.77,1.12,57.58,36.49,6.22,720.65,6.4,105.5,0
345.14,68.48,28.41,4.18,4.14,47.4,0.0,54.8,38.83,4.95,357.44,1.4,124.7,0
359.61,75.61,23.2,4.18,4.12,43.52,0.0,49.21,21.83,5.14,496.63,22.0,106.4,0
361.83,103.82,36.93,4.17,3.74,76.16,2.49,86.58,25.01,4.22,0.0,157.6,82.3,2
356.16,108.59,37.55,4.18,4.16,52.33,0.0,46.05,29.31,2.83,247.82,15.8,109.9,0
339.51,51.62,22.63,4.12,4.04,40.73,0.46,45.25,23.02,8.23,123.32,45.7,113.1,1
359.2,105.51,27.13,4.11,4.02,65.72,0.0,68.43,30.82,2.95,200.41,38.6,99.6,1
338.15,87.71,27.98,4.14,4.14,47.5,0.26,50.8,34.61,8.91,348.32,5.5,118.5,1
369.12,14.57,5.93,4.17,3.47,57.89,2.49,68.61,26.85,7.59,0.0,121.1,106.2,2
346.29,42.27,11.01,4.14,4.13,11.36,0.82,15.94,22.0,7.22,155.65,22.2,157.8,0
355.77,91.94,40.04,4.12,4.18,56.34,1.29,59.63,34.02,10.58,496.81,9.0,107.0,0
334.28,52.1,16.34,4.19,4.13,40.35,1.22,44.82,11.08,8.79,470.82,7.6,118.7,2
341.9,58.22,18.86,4.16,3.54,61.42,2.2,66.68,19.4,4.1,121.04,137.9,97.3,2
357.44,104.05,38.07,4.19,4.11,49.1,0.0,47.01,17.98,3.59,446.04,27.5,97.1,1
343.7,186.31,75.65,4.18,4.17,45.61,0.0,49.95,27.93,6.56,285.31,53.4,94.7,2
362.18,51.34,12.13,4.09,4.18,16.17,0.15,19.37,4.55,3.38,343.57,1.4,148.5,0
352.47,51.0,11.36,4.19,4.04,34.13,1.88,48.42,7.26,7.88,426.52,49.3,139.0,1
370.35,113.54,42.21,4.15,4.1,52.77,0.0,56.98,30.89,1.14,574.08,20.1,91.5,1
353.16,30.77,10.44,4.19,3.9,66.15,1.78,68.92,41.11,4.11,0.0,292.4,103.4,2
356.0,20.56,8.59,4.2,3.8,41.27,2.65,46.99,28.31,0.08,155.09,81.1,117.8,1
355.71,113.71,42.59,4.17,3.86,92.14,0.12,91.73,28.36,3.33,131.29,156.6,81.5,2
341.81,6.01,2.64,4.17,3.91,43.87,1.98,48.52,22.13,6.77,61.72,89.4,119.3,2
326.59,31.23,10.0,4.13,4.14,26.1,0.0,35.07,42.12,6.74,378.75,18.1,122.7,0
357.08,55.8,24.12,4.15,3.76,109.8,1.92,115.24,12.07,0.0,71.85,61.4,59.1,2
367.26,48.46,20.2,4.16,4.18,47.83,0.0,48.12,33.79,6.7,565.88,0.0,96.3,1
335.35,66.41,20.38,4.16,4.16,55.12,0.0,62.95,31.84,9.87,365.26,22.5,97.1,0
324.27,93.04,40.33,4.18,4.07,37.7,0.23,37.1,31.43,7.73,318.78,37.1,106.3,1
359.4,58.05,16.74,4.09,4.12,45.5,0.14,57.57,43.42,6.71,209.39,33.2,112.1,1
353.56,11.57,3.32,4.17,4.12,55.21,1.39,54.4,21.43,6.74,211.68,26.3,115.4,1
369.4,76.88,29.17,4.19,3.73,67.5,2.48,80.12,20.81,2.09,146.04,136.0,82.6,2
374.52,46.65,12.09,4.19,3.69,58.27,1.14,66.2,39.25,0.45,43.72,310.5,92.2,2
351.52,58.99,21.67,4.15,4.15,76.67,0.0,86.29,35.06,7.94,347.2,17.0,87.3,0
364.39,33.27,10.64,4.19,4.14,34.17,1.87,31.13,32.27,14.94,471.93,18.0,131.5,0
334.56,118.31,24.15,4.17,3.94,55.26,1.5,60.79,28.66,3.93,63.97,0.0,104.0,2
341.25,116.41,35.39,4.16,4.06,64.39,0.0,78.97,16.05,14.27,446.86,22.8,85.8,1
358.85,67.95,26.66,4.16,4.13,27.33,0.0,37.79,21.92,2.36,723.75,1.5,131.1,0
352.83,63.02,18.83,4.18,4.09,79.06,0.81,76.32,25.79,0.0,230.12,103.4,88.3,2
349.6,101.89,35.9,4.16,3.85,65.48,1.64,73.75,48.8,0.0,131.33,177.7,98.2,2
358.48,62.59,30.82,4.17,4.03,44.23,0.0,43.37,29.79,5.23,0.0,107.8,99.1,2
381.1,22.67,8.45,4.2,4.15,40.63,0.91,37.93,26.95,8.67,515.12,13.9,128.2,1
352.03,15.0,3.96,4.16,3.88,94.8,1.22,95.91,12.46,0.0,149.12,308.5,77.9,2
348.41,63.95,25.03,4.2,3.72,77.91,1.48,82.92,38.04,1.53,114.67,327.9,79.8,2
382.21,114.75,43.07,4.16,3.88,34.12,1.82,35.08,27.79,12.53,106.44,236.6,121.1,2
362.3,69.26,26.34,4.17,3.84,65.37,0.64,62.31,14.29,4.14,21.42,162.1,108.0,2
325.59,84.96,30.08,4.16,4.15,40.51,0.6,46.07,23.69,7.02,577.43,8.5,127.8,0
337.25,34.68,11.46,4.19,4.1,35.15,0.0,46.05,34.73,5.04,483.02,11.3,122.8,0
