SoC,Internal_Res,Cycle_Count,DoD,Cell_Imbalance,Coulombic_Eff,Pol_Voltage,Stress_Index,Label_Health
33.6,119.8,1208,39.75,0.041,98.07,0.16,1.05,1
23.6,50.0,0,80.78,0.0,97.24,0.05,0.61,0
76.3,109.9,1406,47.33,0.037,98.04,0.16,1.78,1
32.2,81.4,1052,21.58,0.185,98.22,0.16,1.37,1
88.0,50.0,1139,11.87,0.031,96.26,0.02,0.99,0
83.2,78.9,1018,17.83,0.05,97.18,0.07,1.07,0
28.8,64.0,1590,42.93,0.046,99.49,0.01,1.22,1
25.7,92.8,2807,42.74,0.052,96.56,0.18,2.9,1
11.3,83.4,1825,87.43,0.041,96.47,0.11,1.13,1
62.0,72.1,0,61.95,0.027,98.07,0.02,0.57,0
88.2,50.0,410,75.06,0.0,99.13,0.04,0.4,0
32.2,64.7,1992,80.0,0.128,97.27,0.07,1.51,1
65.8,50.0,251,52.54,0.0,97.44,0.14,0.44,0
96.4,77.6,1659,29.33,0.043,98.77,0.15,2.02,1
81.0,100.5,1120,10.37,0.014,99.02,0.16,1.43,1
25.8,59.3,627,58.66,0.0,98.79,0.01,1.33,0
47.1,50.0,0,43.61,0.045,100.0,0.05,0.0,0
25.4,66.4,2201,32.33,0.106,97.82,0.09,1.31,1
93.2,50.0,1120,48.41,0.0,96.97,0.07,0.82,0
77.5,54.7,707,24.46,0.0,100.0,0.0,0.49,0
65.5,75.8,0,71.27,0.035,99.29,0.0,0.0,0
82.3,72.7,2611,30.75,0.052,99.24,0.14,2.66,1
54.7,86.7,2188,80.42,0.005,97.43,0.11,2.96,1
65.7,88.2,828,54.38,0.0,98.06,0.05,0.79,0
52.5,92.8,2232,61.12,0.074,95.72,0.09,0.86,1
55.3,78.8,876,88.51,0.067,97.29,0.02,1.26,0
37.0,50.0,470,29.18,0.007,99.54,0.0,0.55,0
97.6,56.1,1056,76.77,0.064,98.72,0.15,1.1,1
10.4,82.6,1053,28.08,0.134,97.9,0.15,0.85,0
95.9,67.2,840,79.58,0.0,100.0,0.02,1.26,0
37.1,102.3,1476,55.45,0.061,97.88,0.16,2.28,1
12.7,131.0,1271,19.28,0.0,95.66,0.09,2.07,1
84.6,76.0,1395,29.86,0.0,96.49,0.18,0.66,1
69.6,50.0,0,13.73,0.094,100.0,0.0,0.0,0
94.4,82.6,1991,70.4,0.029,98.63,0.18,2.01,1
53.2,54.8,16,27.07,0.0,97.5,0.0,0.0,0
25.2,60.2,33,72.19,0.016,98.2,0.0,0.0,0
54.1,50.0,958,72.93,0.099,97.52,0.08,0.65,1
15.7,70.6,103,56.15,0.0,97.19,0.05,0.02,0
27.3,71.3,560,54.6,0.0,98.74,0.19,0.22,0
91.2,73.1,1071,77.06,0.037,97.21,0.0,1.03,0
27.6,75.1,377,34.52,0.0,97.71,0.0,0.0,0
76.2,106.0,548,59.96,0.013,97.72,0.14,0.02,1
11.0,50.0,0,72.21,0.0,99.57,0.02,0.13,0
23.4,106.4,1162,15.98,0.068,98.44,0.3,0.88,1
94.7,71.0,1390,39.64,0.027,97.49,0.17,1.13,1
52.6,101.4,1673,33.89,0.006,98.03,0.16,0.94,1
63.2,73.8,703,76.67,0.108,99.01,0.04,0.78,0
80.0,57.1,0,11.51,0.0,97.68,0.03,0.0,0
92.1,79.5,1945,76.97,0.042,99.12,0.02,2.57,1
50.1,50.0,821,54.69,0.0,99.05,0.0,1.34,0
98.1,92.5,1411,78.42,0.0,97.17,0.2,1.1,1
36.6,116.8,1828,84.42,0.042,96.52,0.26,1.14,1
61.4,77.5,1769,11.31,0.128,97.89,0.13,2.0,1
43.7,69.4,1667,44.15,0.0,98.77,0.13,2.21,1
44.3,90.2,0,29.41,0.001,98.58,0.03,0.0,0
48.1,79.9,923,29.0,0.032,97.43,0.13,0.29,1
27.9,91.7,2012,17.06,0.079,97.64,0.23,1.21,1
87.9,61.9,0,14.56,0.0,98.82,0.03,0.6,0
49.6,50.0,671,64.93,0.0,97.53,0.0,0.23,0
41.1,62.0,406,23.49,0.0,99.92,0.04,0.0,0
64.6,50.0,562,51.47,0.013,99.1,0.04,0.48,0
62.0,93.0,742,19.88,0.063,98.83,0.14,0.68,1
30.6,86.8,2689,69.57,0.153,98.44,0.19,1.99,1
59.2,56.3,1966,82.41,0.046,96.05,0.08,2.68,1
50.8,78.7,1409,12.07,0.012,98.6,0.15,1.0,1
88.6,72.7,699,11.33,0.0,99.31,0.11,1.01,0
65.4,77.6,1046,22.85,0.037,97.91,0.12,0.51,1
69.5,99.9,819,12.24,0.054,98.16,0.16,0.4,1
10.8,75.0,0,63.36,0.059,98.05,0.0,0.0,0
87.7,66.7,1529,89.67,0.065,98.38,0.13,0.31,0
48.0,50.0,268,41.0,0.0,99.6,0.02,0.17,0
49.3,71.6,1122,77.32,0.0,97.24,0.0,1.16,0
51.5,50.0,777,54.96,0.0,99.36,0.0,0.35,0
82.9,84.7,344,31.11,0.0,96.72,0.0,0.26,0
95.6,63.5,103,85.84,0.052,99.28,0.12,0.0,0
33.4,68.0,1710,43.07,0.055,96.16,0.15,1.49,1
78.2,75.3,816,69.27,0.048,97.02,0.2,0.63,1
28.8,50.0,1095,16.54,0.006,98.66,0.03,0.89,0
69.5,51.7,915,87.72,0.058,97.82,0.08,0.87,1
55.7,78.3,2600,84.13,0.0,99.09,0.2,2.49,1
36.9,73.6,644,55.52,0.0,100.0,0.07,0.0,0
76.2,81.0,563,38.25,0.004,97.12,0.04,0.62,0
14.2,50.0,10,37.72,0.0,98.31,0.01,0.09,0
99.0,59.9,1772,84.46,0.089,98.85,0.14,2.09,1
14.7,53.4,546,11.24,0.0,99.44,0.03,0.24,0
92.6,50.0,1092,49.48,0.038,97.61,0.09,1.45,0
41.7,64.3,0,55.15,0.034,98.0,0.06,0.0,0
93.7,89.3,1417,20.23,0.075,98.12,0.16,1.83,1
52.5,58.8,0,39.48,0.0,100.0,0.05,0.89,0
59.7,65.9,1049,38.77,0.073,97.3,0.14,0.74,1
15.1,73.7,2077,40.76,0.1,96.48,0.19,1.3,1
55.5,99.3,1464,84.68,0.004,97.17,0.15,0.94,1
81.2,69.0,645,52.9,0.0,98.98,0.07,0.9,0
76.7,66.4,724,17.17,0.042,97.86,0.18,1.1,0
24.4,66.3,1275,61.47,0.1,96.41,0.12,0.61,1
79.7,66.9,578,31.74,0.064,98.45,0.09,0.7,0
23.7,96.9,1100,67.06,0.082,97.79,0.13,0.74,1
88.2,106.2,1283,85.85,0.143,98.63,0.16,1.57,1
71.9,61.9,0,44.98,0.036,98.25,0.03,0.0,0
17.9,50.0,603,88.96,0.031,96.92,0.12,0.71,1
65.4,103.2,1490,60.56,0.024,98.07,0.0,1.0,1
21.1,81.0,1006,25.37,0.07,99.71,0.08,0.97,0
86.5,81.5,789,31.54,0.109,99.38,0.14,0.89,1
47.1,83.1,1957,44.55,0.06,98.29,0.21,1.77,1
21.9,106.6,2150,78.59,0.045,97.85,0.24,2.56,1
34.3,50.0,287,86.21,0.0,100.0,0.0,0.75,0
79.1,76.4,1861,63.68,0.048,96.62,0.17,1.19,1
56.8,98.3,1022,61.09,0.0,99.76,0.11,0.93,0
15.2,90.5,1391,15.33,0.053,97.28,0.21,0.56,1
36.9,83.3,625,15.04,0.021,98.31,0.09,0.98,0
25.4,72.5,1271,39.41,0.02,96.41,0.15,0.73,1
43.5,74.3,1340,23.27,0.126,95.64,0.19,1.85,1
50.0,66.2,490,88.99,0.0,97.79,0.09,0.0,0
54.4,50.0,699,11.88,0.0,98.85,0.08,1.26,0
99.4,68.8,885,71.72,0.018,98.65,0.1,0.79,1
14.9,97.8,542,88.58,0.054,98.78,0.02,0.88,0
68.9,64.2,343,75.84,0.046,100.0,0.08,0.56,0
46.9,58.3,1362,18.82,0.053,97.31,0.08,1.73,1
97.7,50.0,1929,17.93,0.0,99.53,0.07,1.11,1
27.3,59.8,1521,62.89,0.055,97.82,0.09,1.21,0
80.9,50.0,0,48.16,0.0,98.05,0.0,0.39,0
83.7,130.3,954,34.36,0.051,96.96,0.13,1.62,1
21.4,53.4,0,27.55,0.063,98.0,0.09,0.0,0
27.8,63.1,1441,68.12,0.0,97.24,0.14,1.8,1
80.7,50.0,0,69.16,0.017,99.7,0.05,0.57,0
16.0,50.0,526,17.75,0.0,98.4,0.01,0.5,0
34.9,90.6,1974,13.58,0.124,97.58,0.16,2.12,1
20.9,54.3,556,67.31,0.0,98.72,0.01,1.16,0
49.8,108.7,1249,61.11,0.093,96.71,0.21,0.94,1
57.1,67.2,917,48.31,0.005,98.06,0.12,1.8,1
68.2,121.3,2406,57.56,0.005,98.25,0.11,2.5,1
53.3,92.4,1795,25.82,0.108,97.5,0.13,1.53,1
29.9,68.7,0,75.94,0.06,100.0,0.0,0.27,0
84.4,65.5,0,33.91,0.031,98.08,0.05,0.0,0
50.7,123.2,1274,89.16,0.049,98.83,0.11,1.13,1
82.5,59.7,1346,17.12,0.044,97.89,0.26,0.9,1
89.9,73.2,1564,30.9,0.059,97.04,0.05,1.44,1
24.5,104.9,1710,81.62,0.077,98.29,0.27,0.98,1
11.5,95.4,2788,39.85,0.166,97.95,0.13,2.61,1
60.4,50.0,13,70.87,0.007,97.28,0.06,0.0,0
27.4,69.2,802,51.87,0.097,98.15,0.19,0.97,1
28.0,59.5,46,34.13,0.051,98.62,0.04,0.29,0
26.7,70.0,2028,81.95,0.026,97.18,0.06,1.67,1
84.4,70.0,0,23.69,0.088,99.22,0.0,0.22,0
78.0,50.9,1621,74.05,0.056,98.3,0.09,1.5,0
84.9,61.4,142,30.63,0.0,97.33,0.0,0.19,0
48.8,80.6,1684,77.45,0.07,98.81,0.14,1.44,1
43.6,72.5,2112,37.99,0.121,97.75,0.16,1.72,1
39.4,50.0,1757,24.7,0.072,97.55,0.04,2.65,0
95.7,101.2,3080,57.1,0.042,98.55,0.16,3.15,1
33.6,58.2,143,11.42,0.0,99.18,0.0,0.0,0
29.0,87.9,1216,87.24,0.158,98.71,0.08,1.44,1
76.2,50.0,243,41.61,0.114,98.69,0.06,0.12,0
55.1,50.0,495,57.83,0.008,98.88,0.0,0.05,0
56.2,76.2,1814,58.18,0.024,97.86,0.09,1.55,1
81.9,50.0,848,60.2,0.0,99.89,0.03,0.55,0
70.8,91.3,838,77.54,0.083,97.97,0.08,0.61,1
39.6,100.7,2267,79.59,0.037,96.42,0.2,1.89,1
31.9,65.0,1109,16.48,0.0,97.27,0.1,0.71,1
36.1,82.0,995,74.01,0.086,96.38,0.13,0.5,1
90.4,93.3,2070,41.99,0.146,97.06,0.18,1.59,1
90.1,92.4,0,42.19,0.0,98.7,0.04,0.0,0
76.7,60.6,0,89.33,0.023,99.57,0.0,0.0,0
73.1,94.6,229,15.14,0.07,100.0,0.0,0.64,0
72.8,66.9,539,51.72,0.0,96.44,0.09,1.09,0
35.9,57.4,808,85.51,0.0,96.84,0.15,0.96,1
15.4,70.4,2262,45.07,0.027,98.54,0.07,2.87,1
55.6,56.0,647,76.42,0.023,98.81,0.0,0.92,0
43.5,67.6,1857,55.87,0.092,96.51,0.26,2.74,1
18.7,102.0,1909,73.64,0.083,96.92,0.09,2.24,1
41.3,94.8,1187,40.23,0.026,98.72,0.16,0.93,1
47.6,82.1,1790,69.85,0.077,98.44,0.09,1.93,1
57.5,86.6,580,34.19,0.03,97.89,0.16,0.0,1
19.1,78.6,1603,85.31,0.053,96.88,0.13,1.7,1
99.1,56.7,1255,55.22,0.009,97.89,0.04,1.22,0
43.4,50.0,961,25.89,0.0,99.69,0.0,0.66,0
32.8,79.5,1078,72.04,0.034,97.51,0.26,0.85,1
58.5,94.0,1879,66.64,0.047,97.24,0.08,1.91,1
38.6,85.6,685,69.25,0.15,99.12,0.1,0.83,0
71.7,50.0,356,80.68,0.008,97.3,0.09,0.0,0
96.3,71.0,1850,86.68,0.112,98.46,0.13,2.43,1
94.5,85.7,2365,13.06,0.048,97.35,0.25,1.45,1
16.6,71.9,2405,88.43,0.029,98.24,0.14,2.97,1
16.3,55.6,0,28.19,0.028,97.84,0.15,0.57,0
14.7,62.5,62,34.23,0.045,99.22,0.02,0.0,0
63.6,85.3,1735,24.29,0.045,98.59,0.14,1.36,1
89.8,63.0,2008,34.95,0.052,99.2,0.24,2.16,1
74.7,50.0,1083,49.07,0.0,98.99,0.01,0.36,1
14.8,56.4,1767,56.84,0.111,96.6,0.12,1.32,1
23.8,73.9,1051,42.35,0.0,98.55,0.13,0.52,0
95.1,63.4,0,19.7,0.036,99.06,0.04,0.12,0
98.9,68.4,149,67.02,0.0,98.31,0.08,0.0,1
71.3,58.1,18,59.46,0.051,99.58,0.0,0.05,0
52.4,81.8,776,37.69,0.0,98.98,0.04,1.19,0
92.3,61.5,1802,79.19,0.152,96.56,0.16,1.54,1
20.5,59.2,838,17.46,0.0,98.69,0.06,1.43,0
89.6,92.4,1836,70.66,0.103,97.12,0.27,1.69,1
67.3,57.3,1217,59.78,0.0,100.0,0.0,1.82,0
32.9,95.5,878,12.07,0.06,97.74,0.15,1.13,1
42.2,62.6,1239,36.03,0.066,99.62,0.12,1.16,1
40.0,50.0,434,69.68,0.042,98.77,0.07,0.64,0
57.8,50.0,648,37.79,0.051,98.41,0.06,1.25,1
53.8,111.1,1461,70.56,0.056,96.76,0.17,1.15,1
97.8,105.4,1274,35.56,0.056,98.47,0.19,0.8,1
78.2,84.4,1433,62.5,0.05,98.22,0.09,1.03,0
23.1,50.0,1567,28.23,0.097,97.25,0.23,1.52,1
82.3,84.7,227,32.91,0.002,99.44,0.11,0.0,0
41.7,88.2,1538,33.52,0.051,98.13,0.14,1.02,1
49.7,64.6,535,87.62,0.029,98.51,0.07,0.56,0
33.5,66.7,2254,59.46,0.107,98.66,0.16,2.04,1
60.8,50.0,975,33.79,0.056,98.45,0.17,0.0,0
41.5,63.8,1289,59.26,0.032,98.61,0.14,0.19,1
59.6,70.2,1134,17.57,0.0,99.87,0.06,0.72,0
83.4,79.8,0,58.28,0.0,99.67,0.08,0.46,0
35.2,90.0,619,12.5,0.07,96.65,0.12,0.2,1
15.8,66.3,260,44.62,0.037,99.34,0.0,0.22,0
72.0,70.0,0,46.68,0.025,97.92,0.02,0.53,0
63.3,84.3,2037,85.04,0.0,96.32,0.13,2.3,1
30.3,50.0,1018,86.91,0.0,99.32,0.02,1.04,0
74.5,62.1,1487,52.46,0.035,97.37,0.13,1.63,1
33.2,53.2,502,37.8,0.025,98.91,0.08,0.4,0
39.0,50.0,1361,39.53,0.041,98.61,0.08,1.27,0
37.2,79.9,1240,21.68,0.042,97.28,0.13,0.78,1
53.8,62.1,0,83.68,0.0,100.0,0.0,0.31,0
28.7,50.0,0,45.31,0.063,99.34,0.0,0.62,0
91.9,69.1,0,73.35,0.0,99.21,0.09,0.0,0
58.8,113.0,1861,82.78,0.074,97.7,0.11,2.12,1
28.8,85.7,2384,26.88,0.112,97.04,0.22,4.0,1
55.2,87.3,2316,45.72,0.124,97.36,0.14,2.46,1
30.8,69.4,1036,89.43,0.034,98.97,0.11,0.0,1
11.3,56.7,1690,55.14,0.098,97.89,0.07,1.81,0
76.0,76.0,2372,23.2,0.166,99.29,0.19,1.24,1
61.1,99.3,1745,83.33,0.033,96.89,0.18,1.81,1
59.0,50.0,983,36.45,0.07,100.0,0.09,1.51,0
26.1,68.8,825,80.39,0.017,98.37,0.12,1.13,1
33.7,50.0,646,73.59,0.0,99.45,0.05,0.95,0
94.9,61.8,0,67.43,0.0,100.0,0.0,0.0,0
41.1,93.4,0,28.25,0.079,98.97,0.04,0.0,0
88.6,99.2,821,67.55,0.107,98.99,0.12,1.01,1
42.7,50.0,17,69.79,0.005,97.73,0.0,0.24,0
44.2,64.5,0,71.65,0.0,100.0,0.0,0.0,0
54.1,51.1,925,17.06,0.007,100.0,0.13,1.02,1
99.3,50.0,5,13.94,0.029,98.97,0.01,0.17,0
67.0,101.7,1371,22.91,0.099,98.05,0.26,1.12,1
74.5,83.9,852,11.16,0.081,99.11,0.08,0.52,1
15.8,93.3,1910,55.36,0.159,98.59,0.08,1.87,1
16.5,50.0,0,19.47,0.0,97.1,0.01,0.0,0
63.6,50.0,831,71.41,0.089,98.23,0.0,0.38,0
72.9,79.1,1116,89.04,0.139,98.36,0.18,1.53,1
40.8,50.0,722,48.22,0.037,97.32,0.02,0.51,0
61.9,69.3,2063,38.1,0.141,99.68,0.17,1.81,1
94.9,82.1,1908,22.06,0.033,98.22,0.19,2.58,1
15.3,79.4,1415,76.79,0.007,96.88,0.22,1.82,1
78.2,83.8,134,18.65,0.032,98.44,0.05,0.0,0
21.8,53.3,1065,16.14,0.0,97.45,0.11,0.99,0
95.8,50.0,1230,47.77,0.119,98.44,0.06,1.94,1
27.3,50.0,239,84.22,0.0,98.75,0.08,0.49,0
92.6,50.0,0,36.03,0.019,97.73,0.0,0.0,0
78.6,97.8,1111,27.04,0.112,99.99,0.11,0.17,1
66.0,86.6,972,40.94,0.0,100.0,0.12,0.53,1
18.0,78.5,1363,14.46,0.051,95.72,0.16,1.47,1
66.7,50.0,1590,63.75,0.0,99.93,0.2,2.1,1
27.3,50.0,67,58.8,0.016,98.51,0.05,0.28,0
26.0,75.9,1138,54.81,0.054,98.82,0.08,1.13,1
66.8,67.1,807,74.59,0.088,98.2,0.11,0.67,0
86.7,50.0,1154,39.49,0.0,97.39,0.2,0.0,1
86.9,50.0,1787,12.48,0.056,97.12,0.14,2.06,1
33.2,61.6,943,84.74,0.0,98.46,0.04,0.6,0
82.2,68.4,1181,35.46,0.0,98.84,0.15,1.43,1
58.0,73.3,961,82.32,0.0,95.72,0.04,2.13,0
47.1,50.0,396,67.49,0.029,98.2,0.25,2.01,1
30.1,50.0,575,86.93,0.142,99.98,0.09,1.06,0
98.0,61.6,0,44.84,0.028,98.13,0.06,0.0,0
79.6,78.1,1441,26.33,0.018,98.26,0.17,2.63,1
58.6,69.6,635,85.99,0.096,98.77,0.13,1.14,1
68.9,69.8,1809,23.62,0.043,100.0,0.1,1.87,1
70.6,62.2,783,31.98,0.049,97.39,0.19,0.14,0
34.4,98.3,2030,27.41,0.024,97.06,0.21,2.4,1
15.0,50.0,446,14.75,0.0,98.14,0.11,0.25,0
96.4,50.0,814,78.19,0.176,99.17,0.14,0.7,1
98.3,70.0,596,22.18,0.097,99.01,0.0,0.2,0
86.9,58.9,1593,60.44,0.006,96.81,0.07,1.66,1
34.7,61.3,0,11.5,0.081,99.24,0.05,0.0,0
45.2,79.3,940,53.28,0.0,97.54,0.13,0.68,1
44.4,66.1,0,30.82,0.0,98.95,0.0,0.07,0
20.2,50.0,0,62.1,0.0,98.53,0.03,0.08,0
10.2,54.9,0,56.84,0.0,98.61,0.0,0.0,0
55.0,55.6,309,46.81,0.003,98.0,0.1,0.03,0
53.2,72.8,292,74.9,0.0,97.17,0.09,0.0,1
63.8,91.3,1777,13.78,0.099,96.51,0.11,2.09,1
79.7,98.6,1627,38.08,0.126,96.43,0.3,1.94,1
76.2,111.8,953,11.57,0.004,99.61,0.15,1.21,0
31.1,88.1,291,66.01,0.0,98.05,0.09,0.51,0
83.2,83.8,1549,85.59,0.044,98.67,0.06,1.71,0
51.2,63.2,0,48.74,0.0,98.79,0.06,0.0,0
95.6,50.0,1225,64.92,0.066,96.31,0.1,1.64,0
31.9,56.9,946,89.32,0.053,98.03,0.05,0.73,0
23.1,123.7,1731,32.78,0.082,96.4,0.23,1.65,1
59.9,113.8,1806,35.33,0.11,97.43,0.14,0.81,1
71.1,60.1,676,84.64,0.093,97.81,0.18,0.65,1
75.9,70.6,772,35.63,0.112,98.52,0.07,0.52,1
85.7,50.0,338,24.16,0.034,98.99,0.06,0.79,1
12.1,71.5,1731,26.78,0.068,97.71,0.21,1.58,1
78.2,62.9,509,53.38,0.023,98.32,0.08,0.97,0
11.3,98.0,1729,41.97,0.078,98.49,0.12,1.54,1
22.2,52.7,0,60.32,0.029,96.99,0.08,0.54,0
81.3,50.0,0,26.53,0.0,99.09,0.06,0.35,0
19.7,69.8,0,29.16,0.006,98.85,0.0,0.0,0
86.3,84.8,183,53.91,0.052,98.97,0.0,0.0,0
46.4,76.5,1460,32.32,0.07,98.69,0.1,1.62,1
55.2,50.0,977,54.97,0.062,98.39,0.11,1.56,0
96.4,120.4,1175,43.85,0.012,97.4,0.08,1.67,0
71.5,61.6,0,67.72,0.0,97.57,0.0,0.0,0
99.6,64.9,1632,66.13,0.04,97.08,0.17,1.33,1
23.1,85.9,916,59.88,0.0,96.23,0.06,0.99,0
51.8,50.0,448,48.55,0.101,98.61,0.08,0.59,0
80.6,85.4,1161,25.88,0.0,97.44,0.09,0.85,0
66.2,73.8,531,71.57,0.014,97.95,0.1,0.0,1
53.3,90.9,177,78.21,0.071,98.49,0.11,0.37,1
82.8,88.6,1316,52.86,0.0,97.58,0.1,0.96,1
94.4,92.4,1335,30.1,0.0,99.13,0.08,1.72,1
89.0,50.0,623,20.79,0.064,97.83,0.11,0.59,0
40.1,64.5,836,40.74,0.0,96.76,0.09,1.81,1
82.5,72.6,0,20.15,0.003,99.73,0.0,0.7,0
89.2,78.4,1219,67.75,0.005,97.81,0.15,0.7,1
26.8,84.2,1060,89.56,0.061,98.65,0.12,1.56,1
98.3,50.0,696,59.37,0.061,98.71,0.14,1.12,0
23.6,50.0,0,31.68,0.0,100.0,0.0,0.21,0
99.9,76.7,562,80.59,0.068,99.72,0.03,0.08,0
56.0,91.9,2103,63.76,0.105,97.33,0.1,1.87,1
13.0,64.0,2219,27.0,0.029,98.3,0.15,1.98,1
75.0,82.1,739,66.95,0.111,98.47,0.07,0.3,0
45.8,60.3,1776,62.9,0.041,97.98,0.08,2.31,1
43.7,86.8,1158,56.1,0.051,99.25,0.17,1.31,1
60.1,99.4,0,59.53,0.0,98.64,0.04,0.46,0
62.2,82.3,1569,71.4,0.082,97.92,0.13,1.86,0
51.2,54.4,764,17.61,0.01,99.73,0.08,2.06,0
47.5,82.3,1342,15.88,0.091,97.39,0.11,1.11,1
16.9,50.0,496,72.31,0.035,99.37,0.0,0.16,0
36.2,78.2,1747,12.75,0.001,97.91,0.08,1.85,0
87.4,50.0,163,40.32,0.014,99.86,0.0,0.23,0
86.7,72.3,2815,67.41,0.099,97.4,0.2,4.01,1
83.3,106.8,1734,48.18,0.084,96.84,0.12,2.67,1
79.4,65.2,259,38.94,0.046,100.0,0.04,0.84,0
55.0,57.3,2209,28.39,0.02,98.4,0.1,2.1,0
35.5,54.4,864,42.9,0.053,98.23,0.08,1.07,0
39.3,54.5,335,47.12,0.0,98.74,0.04,0.77,0
43.2,68.1,318,44.71,0.0,97.02,0.17,0.28,0
70.1,77.5,701,38.15,0.067,98.26,0.09,0.49,1
78.3,50.0,761,32.73,0.158,96.83,0.04,1.15,1
29.1,50.0,1862,81.85,0.019,97.92,0.03,2.66,1
23.3,100.2,1294,45.53,0.0,97.98,0.16,1.0,1
82.8,50.0,171,53.09,0.041,98.74,0.02,0.43,0
55.6,72.7,968,68.08,0.0,97.11,0.02,0.17,0
13.1,54.7,1555,64.23,0.094,96.47,0.14,2.02,1
17.1,89.7,1646,65.33,0.045,96.96,0.21,0.8,1
38.1,50.0,378,87.2,0.072,96.98,0.0,0.25,0
47.8,87.6,1420,11.68,0.107,98.61,0.23,1.73,1
26.7,50.0,0,26.06,0.009,99.1,0.09,0.0,1
28.0,71.2,1808,82.76,0.069,98.12,0.25,1.54,1
40.7,62.9,870,50.52,0.062,97.04,0.11,1.05,1
70.8,91.7,1237,71.36,0.015,100.0,0.1,1.31,1
69.7,67.3,1178,55.62,0.097,96.78,0.1,0.54,1
54.5,69.8,1218,66.54,0.067,97.37,0.11,1.8,1
32.3,83.0,398,64.83,0.009,98.21,0.0,0.63,0
12.7,50.0,428,30.11,0.0,96.81,0.0,0.0,0
66.6,72.1,314,22.54,0.058,97.4,0.07,0.68,0
15.5,76.1,1758,24.61,0.0,97.54,0.16,2.54,1
71.7,50.0,712,28.02,0.073,99.64,0.07,1.04,0
70.6,101.1,1413,81.49,0.0,98.62,0.13,1.38,1
70.5,58.7,1520,16.67,0.058,97.16,0.25,1.93,1
48.5,72.1,398,24.05,0.069,99.33,0.05,0.31,0
15.9,72.6,1929,47.59,0.173,95.8,0.25,1.52,1
41.2,84.0,429,45.52,0.0,98.86,0.09,0.08,0
42.1,77.4,1556,10.28,0.007,98.08,0.09,1.28,1
99.0,57.7,1349,57.81,0.027,100.0,0.12,0.61,0
34.0,50.0,1414,71.69,0.025,97.47,0.17,0.49,1
81.7,76.6,0,39.27,0.099,97.54,0.09,0.19,0
78.8,50.0,537,30.0,0.068,97.59,0.1,1.03,1
24.2,50.0,1388,78.41,0.031,97.31,0.19,1.45,1
41.2,50.0,604,17.53,0.0,98.36,0.04,0.07,0
39.4,50.0,1487,44.62,0.062,99.26,0.18,1.12,0
27.0,60.9,0,30.29,0.0,100.0,0.06,0.0,0
87.1,50.0,628,16.93,0.0,99.22,0.03,1.26,0
